Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2019",,,,,,,,,,,
State,City,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,Corning,10,0,2,0,8,41,13,22,6,0
,Cotter,3,0,1,0,2,17,6,10,1,0
,Crossett,30,0,3,2,25,187,78,102,7,0
,Damascus,0,0,0,0,0,4,0,4,0,0
,Dardanelle,28,1,10,1,16,114,35,69,10,0
,Decatur,17,0,8,0,9,46,9,34,3,0
,De Queen,33,0,10,0,23,172,64,104,4,0
,Des Arc,8,0,0,0,8,20,9,11,0,0
,DeWitt,28,0,6,1,21,84,28,51,5,4
,Diaz,1,0,0,0,1,14,5,4,5,0
,Dover,8,0,0,0,8,30,4,24,2,1
,Dumas,15,1,1,1,12,33,14,18,1,0
,Earle,15,0,1,1,13,46,20,24,2,0
,El Dorado,239,3,16,23,197,996,524,431,41,4
,Elkins,24,0,9,0,15,27,3,22,2,1
,England,21,0,4,2,15,87,28,57,2,0
,Etowah,0,0,0,0,0,4,1,3,0,0
,Eudora,4,0,1,2,1,32,12,20,0,0
,Eureka Springs,22,0,4,3,15,95,28,60,7,0
,Fairfield Bay,10,1,4,0,5,40,9,29,2,2
,Farmington,33,0,14,3,16,67,8,53,6,3
,Fayetteville,396,3,56,52,285,"3,966",398,"3,146",422,2
,Flippin,5,0,2,0,3,61,11,47,3,0
,Fordyce,42,0,6,6,30,213,63,138,12,2
,Forrest City,129,2,8,20,99,668,85,457,126,4
,Fort Smith,863,4,97,90,672,"5,127",812,"3,929",386,11
,Gassville,9,2,2,1,4,51,6,42,3,0
,Gentry,15,0,1,0,14,21,1,18,2,0
,Glenwood,2,0,0,0,2,24,9,12,3,0
,Gosnell,14,0,2,1,11,46,19,25,2,0
,Gravette,14,0,1,1,12,77,13,59,5,0
,Greenbrier,10,0,7,0,3,16,0,11,5,0
,Green Forest,18,0,6,0,12,66,18,46,2,0
,Greenland,6,0,1,0,5,15,0,12,3,0
,Greenwood,23,0,1,0,22,36,11,25,0,1
,Gurdon,19,0,5,0,14,32,8,19,5,0
,Hamburg,18,1,1,0,16,16,7,8,1,1
,Harrisburg,18,0,8,0,10,37,5,28,4,0
,Harrison,50,0,9,2,39,350,50,272,28,3
,Haskell,16,0,5,0,11,75,14,58,3,1
,Hazen,5,0,1,0,4,26,10,11,5,0
,Heber Springs,24,0,8,1,15,231,45,180,6,0
,Helena-West Helena,187,11,17,17,142,578,167,364,47,11
,Highland,4,0,0,0,4,17,5,11,1,0
,Hope,70,0,12,4,54,396,96,278,22,0
,Hot Springs,241,10,38,42,151,"2,674",755,"1,710",209,8
,Hoxie,5,0,0,0,5,24,8,15,1,1
,Jacksonville,271,0,26,42,203,"1,484",281,"1,027",176,1
,Jericho,0,0,0,0,0,0,0,0,0,0
,Johnson,6,0,1,1,4,85,32,41,12,0
,Jonesboro,537,13,74,58,392,"2,982","1,092","1,758",132,2
,Judsonia,12,0,3,1,8,29,6,23,0,0
,Kensett,7,0,1,0,6,18,3,14,1,1
,Lake City,4,0,1,1,2,19,8,9,2,0
,Lakeview,4,1,0,0,3,12,2,8,2,0
,Lake Village,20,2,4,4,10,68,16,50,2,1
,Lamar,0,0,0,0,0,25,4,21,0,0
,Lincoln,9,0,4,0,5,51,12,34,5,0
,Little Flock,10,0,2,1,7,35,8,24,3,0
,Little Rock,"3,009",38,209,391,"2,371","12,145","1,760","9,316","1,069",45
,Lonoke,22,0,4,2,16,127,15,108,4,1
,Lowell,28,0,3,1,24,117,38,71,8,0
,Luxora,1,0,0,1,0,3,2,1,0,0
,Madison,3,0,0,1,2,5,2,3,0,0
,Magnolia,14,0,2,1,11,295,95,198,2,2
,Marianna,28,2,5,2,19,154,52,89,13,2
,Marion,122,0,12,11,99,379,61,291,27,1
,Marked Tree,17,0,0,0,17,50,13,31,6,0
,Marmaduke,6,0,0,1,5,47,11,35,1,0
,Marshall,3,0,1,0,2,12,3,8,1,1
,Maumelle,28,2,3,5,18,301,64,218,19,2
,Mayflower,10,0,2,1,7,66,16,46,4,0
,McCrory,11,0,2,0,9,33,9,19,5,0
,McGehee,31,0,8,0,23,95,34,59,2,0
,McRae,1,0,0,0,1,4,2,2,0,0
,Mena,3,0,2,0,1,223,29,186,8,2
,Menifee,0,0,0,0,0,2,2,0,0,0
,Mineral Springs,1,0,0,0,1,13,5,6,2,0
,Monette,1,0,1,0,0,22,6,16,0,0
,Monticello,38,0,10,5,23,289,45,229,15,6
,Morrilton,26,0,11,2,13,240,9,225,6,1
,Mountainburg,7,0,2,0,5,28,5,21,2,0
,Mountain Home,32,0,19,1,12,486,48,423,15,0
,Mountain View,9,0,1,0,8,99,30,66,3,0
,Mulberry,14,0,3,0,11,61,10,50,1,0
,Murfreesboro,4,0,1,0,3,12,3,9,0,0
,Nashville,27,0,13,0,14,130,18,108,4,0
,Newport,92,1,12,3,76,369,70,289,10,1
,Norfork,0,0,0,0,0,1,0,1,0,0
,North Little Rock,562,12,23,106,421,"2,479",380,"1,723",376,17
,Osceola,172,4,15,7,146,316,151,144,21,7
,Ozark,29,0,6,1,22,86,44,40,2,0
,Paragould,307,0,29,13,265,"1,378",188,"1,083",107,4
,Paris,22,0,3,2,17,94,32,59,3,1
,Pea Ridge,24,0,4,0,20,69,9,52,8,0
,Perryville,3,2,0,0,1,29,3,20,6,0
,Piggott,17,0,7,0,10,52,13,36,3,0
,Pine Bluff4,644,23,23,96,502,,,"1,448",271,39
,Plumerville,0,0,0,0,0,11,2,9,0,0
,Pocahontas,43,0,21,1,21,216,31,171,14,1
,Pottsville,13,0,1,0,12,18,7,11,0,1
,Prairie Grove,16,1,6,0,9,134,27,103,4,0
,Prescott4,6,0,3,0,3,,,34,4,1
,Quitman,2,0,0,0,2,22,1,21,0,0
,Ravenden,2,0,0,0,2,5,0,5,0,0
,Redfield,4,0,2,0,2,23,11,11,1,0
,Rogers,330,1,87,21,221,"1,968",166,"1,699",103,6
,Rose Bud,0,0,0,0,0,11,2,8,1,0
,Russellville,140,0,13,9,118,897,109,729,59,2
,Salem,2,0,1,0,1,15,7,7,1,0
,Searcy,199,4,15,21,159,"1,042",230,756,56,0
,Shannon Hills,17,0,5,1,11,62,27,21,14,1
,Sheridan4,14,0,4,1,9,,20,,7,0
,Sherwood,195,1,17,13,164,928,214,625,89,4
,Siloam Springs,70,0,15,4,51,458,96,307,55,4
,Star City,17,1,2,2,12,48,12,30,6,0
,St. Charles,0,0,0,0,0,3,1,2,0,0
,Stuttgart,101,1,10,5,85,302,69,219,14,5
,Sulphur Springs,10,0,1,0,9,7,3,4,0,0
,Swifton,1,0,0,0,1,7,1,6,0,0
,Texarkana,183,4,13,27,139,"1,130",215,847,68,3
,Trumann,41,0,15,4,22,321,72,236,13,0
,Tuckerman,9,0,3,0,6,34,13,17,4,0
,Van Buren,117,0,14,7,96,752,149,541,62,0
,Vilonia,5,0,0,1,4,55,9,43,3,0
,Waldron,15,0,4,0,11,112,37,74,1,2
,Walnut Ridge,11,0,2,0,9,69,20,41,8,0
,Ward,64,0,12,1,51,103,31,69,3,1
,Warren,24,0,4,1,19,146,55,86,5,0
,Weiner,4,0,1,0,3,12,4,7,1,0
,West Fork,5,0,1,1,3,34,7,26,1,0
,West Memphis,485,8,33,57,387,"1,225",336,756,133,9
,White Hall,5,0,0,2,3,69,26,34,9,0
,Wilson,0,0,0,0,0,12,0,12,0,0
,Wynne,79,1,8,4,66,292,80,194,18,4
CALIFORNIA,Adelanto,276,1,20,42,213,459,136,209,114,14
,Agoura Hills,21,0,6,4,11,306,66,223,17,0
,Alameda,162,0,7,94,61,"2,579",218,"1,958",403,29
,Albany,40,0,8,21,11,685,105,534,46,1
,Alhambra,161,2,11,89,59,"1,749",259,"1,303",187,8
,Aliso Viejo,27,1,3,13,10,433,57,351,25,1
,Alturas,10,0,2,1,7,30,14,13,3,0
,American Canyon,53,0,7,7,39,454,59,368,27,3
,Anaheim,"1,120",8,141,396,575,"8,258","1,123","5,904","1,231",44
,Anderson,61,1,5,12,43,363,63,208,92,1
,Angels Camp,6,0,2,1,3,74,19,45,10,0
,Antioch,648,12,55,238,343,"3,199",511,"2,078",610,59
,Apple Valley,339,4,19,68,248,"1,105",230,660,215,11
,Arcadia,84,1,10,35,38,"1,348",301,973,74,3
,Arcata,72,1,12,16,43,605,122,425,58,21
,Arroyo Grande,27,0,2,7,18,275,35,219,21,3
,Artesia,72,1,2,28,41,284,90,161,33,0
,Arvin,196,3,3,16,174,437,115,178,144,16
,Atascadero,65,0,7,7,51,493,96,360,37,3
,Atherton,12,0,2,4,6,110,32,74,4,0
,Atwater,206,1,10,22,173,"1,031",140,708,183,0
,Auburn,50,0,8,5,37,237,72,146,19,5
,Avalon,10,0,2,0,8,40,7,28,5,0
,Avenal,69,0,7,3,59,58,26,28,4,0
,Azusa,144,5,17,46,76,959,174,646,139,12
,Bakersfield,"1,766",34,116,701,915,"16,074","3,888","9,277","2,909",470
,Baldwin Park,188,1,24,50,113,"1,110",196,606,308,5
,Banning,136,2,16,27,91,532,179,210,143,0
,Barstow,274,5,10,82,177,986,285,527,174,37
,Bear Valley,11,0,7,0,4,44,6,36,2,0
,Beaumont,92,2,14,38,38,922,178,548,196,11
,Bell,168,0,11,37,120,441,127,224,90,0
,Bellflower,327,1,29,107,190,"1,506",326,860,320,7
,Bell Gardens,147,0,4,69,74,630,78,334,218,4
,Belmont,45,1,8,1,35,392,50,312,30,2
,Belvedere,1,0,0,0,1,15,2,13,0,0
,Benicia,16,0,1,13,2,377,72,250,55,2
,Berkeley,618,0,74,369,175,"6,256",771,"4,993",492,17
,Beverly Hills,103,1,6,52,44,"1,499",257,"1,197",45,6
,Big Bear,76,0,7,4,65,135,30,92,13,0
,Biggs,3,0,1,0,2,17,3,10,4,0
,Bishop,34,0,9,6,19,183,29,150,4,0
,Blythe,92,0,7,29,56,644,177,434,33,44
,Bradbury,1,0,0,1,0,10,2,6,2,0
,Brawley,121,2,4,8,107,618,95,468,55,15
,Brea,72,0,10,29,33,"1,450",169,"1,209",72,3
,Brentwood,166,0,16,67,83,"1,335",142,"1,095",98,11
,Brisbane,10,0,2,0,8,137,64,52,21,1
,Broadmoor,11,0,2,7,2,82,15,55,12,0
,Buellton,3,0,0,0,3,54,15,31,8,0
,Buena Park,246,1,15,91,139,"2,061",230,"1,567",264,1
,Burbank,189,1,11,54,123,"2,617",299,"2,107",211,4
,Burlingame,74,0,9,25,40,"1,185",162,937,86,4
,Calabasas,35,1,6,15,13,331,81,226,24,1
,Calexico,94,0,3,21,70,894,244,470,180,56
,California City,83,0,13,15,55,281,102,120,59,3
,Calimesa,22,0,0,7,15,280,51,193,36,0
,Calistoga,6,0,0,0,6,70,7,54,9,0
,Camarillo,58,0,22,16,20,817,100,676,41,2
,Campbell,89,0,22,21,46,"1,357",209,990,158,13
,Canyon Lake,15,0,0,1,14,74,15,47,12,0
,Capitola,30,0,3,6,21,528,53,454,21,2
,Carlsbad,240,3,40,39,158,"2,135",297,"1,671",167,11
,Carmel,11,0,0,0,11,103,20,81,2,0
,Carpinteria,11,1,0,3,7,155,19,116,20,0
,Carson,444,5,31,122,286,"2,004",328,"1,277",399,14
,Cathedral City,144,7,19,48,70,602,182,227,193,4
,Central Marin,32,0,6,10,16,"1,094",360,684,50,0
,Ceres,209,1,12,59,137,"1,158",239,628,291,20
,Cerritos,127,1,10,65,51,"1,634",314,"1,198",122,0
,Chico,557,0,100,104,353,"2,406",272,"1,753",381,48
,Chino,329,3,35,96,195,"2,224",376,"1,649",199,5
,Chino Hills,95,1,10,20,64,891,222,606,63,5
,Chowchilla,39,0,2,3,34,234,71,109,54,7
,Chula Vista,904,3,61,265,575,"3,816",486,"2,503",827,36
,Citrus Heights,313,1,46,76,190,"2,248",372,"1,607",269,7
,Claremont,51,0,6,23,22,774,191,552,31,7
,Clayton,1,0,0,1,0,155,14,137,4,0
,Clearlake,119,1,19,36,63,460,146,210,104,11
,Cloverdale,16,0,1,0,15,116,25,87,4,1
,Clovis,243,0,54,32,157,"2,276",307,"1,810",159,6
,Coachella,126,0,9,43,74,894,135,580,179,5
,Coalinga,41,0,2,4,35,217,38,159,20,4
,Colma,28,0,0,20,8,325,36,263,26,2
,Colton,215,1,9,103,102,"1,517",317,836,364,8
,Colusa,6,0,4,1,1,78,28,34,16,0
,Commerce,138,1,5,49,83,"1,004",128,624,252,16
,Compton,"1,104",18,40,427,619,"2,346",334,"1,285",727,44
,Concord,541,2,67,234,238,"4,560",434,"3,512",614,23
,Corcoran,118,1,8,12,97,272,65,157,50,5
,Corning,28,0,6,4,18,211,51,127,33,1
,Corona,291,4,43,103,141,"3,482",646,"2,251",585,28
,Coronado,9,0,1,7,1,324,34,276,14,2
,Costa Mesa,312,0,52,104,156,"3,739",450,"2,934",355,16
,Cotati,40,1,6,5,28,95,15,68,12,1
,Covina,171,2,25,43,101,"1,189",239,779,171,11
,Crescent City,23,0,2,8,13,311,59,238,14,6
,Cudahy,89,2,2,29,56,214,39,111,64,3
,Culver City,182,0,2,102,78,"1,647",172,"1,380",95,1
,Cupertino,55,1,6,14,34,"1,018",175,803,40,1
,Cypress,52,1,7,21,23,596,98,424,74,2
,Daly City,232,0,44,91,97,"1,868",170,"1,517",181,12
,Dana Point,52,0,0,18,34,399,61,311,27,0
,Danville,23,1,5,7,10,296,36,247,13,1
,Davis,107,2,21,44,40,"2,190",274,"1,816",100,4
,Delano,205,8,8,33,156,"1,118",203,603,312,40
,Del Mar,7,0,1,2,4,67,17,37,13,0
,Del Rey Oaks,7,0,0,6,1,39,8,30,1,0
,Desert Hot Springs,255,5,13,59,178,680,301,216,163,4
,Diamond Bar,72,1,4,25,42,908,282,574,52,2
,Dinuba,161,1,5,25,130,530,58,405,67,20
,Dixon,54,0,4,14,36,389,35,284,70,3
,Dorris,4,0,0,0,4,11,8,2,1,0
,Dos Palos,64,0,0,2,62,169,36,89,44,3
,Downey,352,4,30,151,167,"2,473",344,"1,566",563,4
,Duarte,55,0,2,10,43,305,48,215,42,1
,Dublin,107,0,7,43,57,"1,259",114,"1,052",93,3
,Dunsmuir,14,0,4,0,10,18,6,11,1,0
,East Palo Alto,144,1,22,57,64,533,67,360,106,6
,Eastvale,83,0,3,23,57,944,151,676,117,0
,El Cajon,552,3,38,201,310,"2,046",371,"1,316",359,15
,El Centro,143,3,9,41,90,"1,184",228,861,95,7
,El Cerrito,152,1,4,91,56,"1,300",166,"1,054",80,7
,Elk Grove,372,0,35,114,223,"2,599",292,"2,107",200,10
,El Monte,304,2,34,126,142,"1,787",347,"1,046",394,17
,El Segundo,82,0,5,30,47,625,164,387,74,1
,Emeryville,166,0,12,114,40,"2,623",95,"2,415",113,3
,Encinitas,86,2,10,15,59,605,115,422,68,1
,Escalon,16,0,1,0,15,135,25,102,8,1
,Escondido,536,4,51,143,338,"2,373",379,"1,599",395,8
,Etna,2,0,1,0,1,0,0,0,0,0
,Eureka,195,3,29,63,100,"1,350",187,977,186,24
,Exeter,26,0,5,5,16,265,52,188,25,1
,Fairfax,9,0,3,0,6,92,13,77,2,0
,Fairfield,442,5,48,162,227,"3,782",359,"2,780",643,23
,Farmersville,35,0,0,5,30,190,24,138,28,3
,Ferndale,4,0,0,0,4,24,2,17,5,0
,Fillmore,20,0,5,3,12,123,24,89,10,4
,Firebaugh,11,0,2,2,7,103,15,51,37,0
,Folsom,82,0,12,29,41,"1,484",278,"1,127",79,3
,Fontana,739,6,83,206,444,"3,094",483,"1,846",765,9
,Fort Bragg,32,0,5,7,20,316,38,262,16,1
,Fort Jones,2,0,1,0,1,34,12,21,1,0
,Fortuna,28,0,2,9,17,317,50,231,36,7
,Foster City,39,0,10,8,21,425,63,341,21,2
,Fountain Valley,53,0,5,23,25,"1,163",163,914,86,7
,Fowler,29,1,2,5,21,104,42,43,19,0
,Fremont,400,1,36,159,204,"4,523",547,"3,408",568,17
,Fullerton,373,2,80,108,183,"3,157",318,"2,479",360,13
,Galt,77,0,10,15,52,449,71,340,38,7
,Gardena,324,3,20,131,170,"1,202",236,658,308,6
,Garden Grove,505,6,54,185,260,"3,909",627,"2,778",504,17
,Gilroy,251,5,37,69,140,"1,479",186,"1,034",259,23
,Glendale,231,5,16,93,117,"3,305",480,"2,562",263,13
,Glendora,155,1,21,38,95,"1,501",187,"1,241",73,6
,Goleta,40,0,2,6,32,509,114,355,40,0
,Gonzales,17,0,1,4,12,73,12,40,21,1
,Grand Terrace,37,1,4,8,24,237,55,149,33,4
,Grass Valley,73,3,0,6,64,463,76,326,61,1
,Greenfield,54,1,9,9,35,165,31,98,36,12
,Gridley,29,0,15,3,11,205,47,136,22,3
,Grover Beach,13,0,3,1,9,239,56,151,32,1
,Guadalupe,15,0,2,3,10,82,32,34,16,2
,Gustine,21,0,2,4,15,116,32,54,30,3
,Hanford,257,0,18,40,199,"1,242",131,900,211,15
,Hawaiian Gardens,76,0,5,24,47,225,68,101,56,3
,Hawthorne,636,3,34,190,409,"1,485",199,930,356,7
,Hayward,552,5,54,275,218,"4,886",448,"3,197","1,241",27
,Healdsburg,17,1,1,3,12,176,17,142,17,0
,Hemet,343,5,23,121,194,"2,877",757,"1,547",573,21
,Hercules,31,0,5,15,11,341,31,278,32,0
,Hermosa Beach,51,0,7,9,35,449,97,326,26,4
,Hesperia,462,8,35,111,308,"1,664",443,893,328,17
,Hidden Hills,1,0,1,0,0,18,10,7,1,0
,Highland,362,7,19,90,246,906,167,511,228,8
,Hillsborough,5,0,0,1,4,97,46,49,2,0
,Hollister,114,1,15,27,71,311,61,174,76,5
,Holtville,14,0,1,2,11,70,13,53,4,4
,Hughson,5,0,0,0,5,46,8,29,9,0
,Huntington Beach,386,2,61,99,224,"4,144",535,"3,280",329,22
,Huntington Park,458,3,31,249,175,"1,595",214,861,520,9
,Huron,83,0,1,10,72,56,13,25,18,13
,Imperial,5,0,0,1,4,56,10,36,10,0
,Imperial Beach,72,0,5,16,51,331,57,195,79,1
,Indian Wells,13,0,1,2,10,138,44,89,5,0
,Indio,530,1,45,118,366,"1,880",304,"1,218",358,6
,Industry,72,0,1,41,30,"1,180",156,899,125,7
,Inglewood,671,2,51,358,260,"2,321",308,"1,356",657,8
,Ione,11,0,1,1,9,46,9,35,2,0
,Irvine,188,1,52,66,69,"3,823",574,"3,086",163,9
,Irwindale,26,0,1,8,17,240,73,139,28,3
,Isleton,7,1,0,0,6,4,1,2,1,0
,Jackson,30,0,3,0,27,133,15,107,11,9
,Jurupa Valley,317,6,7,86,218,"2,494",406,"1,346",742,8
,Kensington,5,0,1,1,3,48,15,25,8,0
,Kerman,23,0,3,4,16,308,58,214,36,0
,King City,19,0,3,9,7,148,43,80,25,10
,Kingsburg,18,0,2,3,13,219,76,107,36,1
,La Canada Flintridge,15,0,2,6,7,323,114,198,11,0
,Lafayette,4,0,1,3,0,358,42,286,30,0
,Laguna Beach,38,1,17,5,15,326,43,261,22,3
,Laguna Hills,32,0,3,15,14,405,82,288,35,2
,Laguna Niguel,43,1,9,12,21,607,105,463,39,2
,Laguna Woods,7,0,0,2,5,124,20,96,8,0
,La Habra,140,0,20,41,79,"1,122",188,789,145,0
,La Habra Heights,4,0,0,1,3,79,29,45,5,1
,Lake Elsinore,173,3,3,43,124,"2,005",233,"1,409",363,4
,Lake Forest,66,1,7,14,44,684,108,503,73,2
,Lakeport,34,0,3,7,24,160,29,110,21,0
,Lake Shastina,3,0,0,0,3,10,2,6,2,0
,Lakewood,222,0,20,104,98,"1,846",303,"1,354",189,3
,La Mesa,174,1,22,76,75,"1,000",138,715,147,2
,La Mirada,86,0,6,28,52,701,145,463,93,3
,Lancaster,"1,359",7,114,374,864,"3,346",792,"1,916",638,49
