Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2017",,,,,,,,,,,
State,City,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,Lineville,13,0,0,1,12,30,8,19,3,
,Lipscomb,13,0,1,1,11,68,35,27,6,
,Littleville,1,0,0,0,1,17,1,15,1,
,Livingston,40,0,1,1,38,67,5,54,8,
,Loxley,18,1,0,3,14,129,21,92,16,
,Madison,177,2,22,24,129,931,143,723,65,
,Margaret,6,0,2,0,4,32,8,15,9,
,McIntosh,3,0,1,0,2,35,4,28,3,
,Midfield,64,3,3,21,37,292,110,164,18,
,Midland City,9,0,1,1,7,91,31,55,5,
,Millbrook,45,2,9,11,23,602,86,480,36,
,Mobile3,"1,839",50,142,440,"1,207","13,549","3,023","9,267","1,259",57
,Montevallo,21,1,4,4,12,154,30,114,10,
,Montgomery,"1,277",38,52,346,841,"8,800","2,129","5,827",844,
,Moody,63,1,4,4,54,219,28,160,31,
,Morris,4,0,1,0,3,52,11,32,9,
,Moulton,9,0,1,2,6,64,26,33,5,
,Moundville,2,0,1,0,1,37,7,29,1,
,Muscle Shoals,81,1,3,5,72,637,121,458,58,
,New Brockton,1,0,0,0,1,25,8,14,3,
,New Hope,4,0,0,0,4,48,10,30,8,
,Newton,1,0,0,0,1,71,15,39,17,
,Northport,47,0,5,14,28,655,82,556,17,
,Notasulga,10,0,1,1,8,35,21,13,1,
,Odenville,25,0,4,0,21,41,6,28,7,
,Ohatchee,1,0,0,0,1,36,14,22,0,
,Oneonta,11,0,2,3,6,250,30,203,17,
,Opelika,223,5,21,47,150,"1,399",220,"1,091",88,
,Opp,28,0,0,2,26,140,38,98,4,
,Orange Beach,11,0,1,0,10,189,18,165,6,
,Owens Crossroads,5,0,0,0,5,53,8,41,4,
,Oxford,60,1,0,9,50,"1,101",117,942,42,
,Ozark,156,3,11,5,137,682,107,544,31,
,Parrish,5,0,0,0,5,49,11,28,10,
,Pelham,33,0,5,8,20,504,35,430,39,
,Pell City,55,0,15,10,30,481,60,390,31,
,Phenix City,251,9,47,73,122,"1,488",366,949,173,
,Piedmont,22,0,3,1,18,177,52,110,15,
,Pine Hill,13,3,0,1,9,36,13,22,1,
,Pleasant Grove,11,0,1,0,10,164,37,116,11,
,Prattville,85,4,12,32,37,"1,280",132,"1,025",123,
,Prichard,404,9,11,96,288,"1,359",441,746,172,
,Ragland,0,0,0,0,0,11,2,7,2,
,Rainsville,13,0,1,0,12,103,31,60,12,
,Red Bay,8,0,1,0,7,60,7,45,8,
,Reform,7,0,0,2,5,11,4,6,1,
,Riverside,7,0,1,0,6,53,15,31,7,
,Robertsdale,38,0,4,4,30,287,37,235,15,
,Russellville,33,1,9,1,22,310,79,205,26,
,Saraland,45,0,4,3,38,614,74,496,44,
,Sardis City,5,0,0,0,5,48,11,32,5,
,Satsuma,2,0,0,0,2,50,9,34,7,
,Scottsboro,192,0,9,4,179,586,83,465,38,
,Sheffield,67,0,9,11,47,329,73,223,33,
,Slocomb,10,0,3,0,7,47,15,31,1,
,Snead,7,0,0,0,7,44,10,22,12,
,Southside,15,0,1,0,14,105,20,74,11,
,Spanish Fort,32,0,2,3,27,326,16,304,6,
,Springville,28,0,0,0,28,63,3,58,2,
,Sulligent,8,0,1,2,5,67,16,46,5,
,Sumiton,5,1,0,1,3,94,8,81,5,
,Summerdale,8,0,0,0,8,85,15,55,15,
,Talladega,136,1,5,21,109,831,217,560,54,
,Tallassee,43,0,5,3,35,270,39,199,32,
,Tarrant,106,4,4,25,73,337,92,213,32,
,Thomasville,22,0,1,0,21,116,19,88,9,
,Trinity,4,0,3,0,1,29,12,8,9,
,Troy,222,1,5,23,193,979,193,735,51,
,Tuscaloosa,474,9,54,168,243,"4,174",814,"3,161",199,
,Tuscumbia,29,0,8,3,18,270,48,197,25,
,Tuskegee,83,3,7,22,51,352,137,179,36,
,Union Springs,42,0,1,10,31,144,50,80,14,
,Uniontown,20,0,0,2,18,62,26,29,7,
,Valley,65,0,11,13,41,633,112,452,69,
,Vance,3,0,0,0,3,35,14,18,3,
,Vestavia Hills,24,1,1,3,19,425,53,342,30,
,Warrior,14,0,1,1,12,49,8,35,6,
,Wedowee,8,0,2,0,6,50,14,33,3,
,West Blocton,16,0,4,2,10,55,15,34,6,
,Wetumpka,41,2,2,5,32,350,31,308,11,
,Winfield,18,0,4,1,13,168,33,120,15,
,Woodstock,2,0,0,0,2,51,11,34,6,
ALASKA,Anchorage,"3,564",27,391,778,"2,368","16,041","2,216","10,721","3,104",62
,Bethel,91,1,31,14,45,75,35,28,12,1
,Bristol Bay Borough,0,0,0,0,0,15,3,3,9,0
,Cordova,0,0,0,0,0,29,3,24,2,0
,Craig,5,0,0,0,5,15,4,10,1,0
,Dillingham,39,0,10,3,26,60,18,34,8,0
,Fairbanks,205,10,24,40,131,"1,493",164,"1,121",208,6
,Haines,7,0,3,0,4,18,4,14,0,0
,Homer,11,0,5,1,5,211,24,178,9,0
,Juneau,303,1,50,46,206,"1,683",326,"1,262",95,8
,Kenai,35,0,16,1,18,441,41,360,40,2
,Ketchikan,34,1,19,0,14,341,25,298,18,0
,Kodiak,60,0,15,4,41,211,20,180,11,0
,Kotzebue,121,0,16,3,102,178,34,123,21,3
,Nome,59,0,7,0,52,27,8,16,3,0
,North Pole,5,0,1,1,3,66,6,58,2,1
,North Slope Borough,173,2,15,1,155,88,19,59,10,3
,Palmer,20,1,1,4,14,244,19,208,17,0
,Petersburg,4,0,2,1,1,106,16,88,2,0
,Seward,11,0,0,0,11,61,14,43,4,0
,Sitka,14,1,0,1,12,163,12,145,6,1
,Skagway,0,0,0,0,0,16,2,13,1,0
,Soldotna,33,0,16,6,11,233,16,205,12,1
,Unalaska,15,0,0,0,15,29,6,21,2,0
,Valdez,12,0,5,0,7,51,4,44,3,0
,Wasilla,54,0,0,5,49,464,40,377,47,1
,Wrangell,8,0,2,0,6,28,1,22,5,0
ARIZONA,Apache Junction,80,3,0,9,68,965,184,680,101,8
,Avondale,257,6,27,97,127,"3,347",480,"2,633",234,20
,Buckeye,32,4,3,15,10,"1,152",148,940,64,3
,Bullhead City4,,2,5,30,,"1,480",338,994,148,3
,Camp Verde,33,0,0,2,31,288,63,196,29,1
,Chandler,647,5,130,142,370,"5,809",784,"4,653",372,
,Clarkdale,8,0,0,2,6,86,39,39,8,0
,Coolidge,39,1,3,6,29,530,76,427,27,3
,Cottonwood,49,0,1,4,44,380,42,314,24,1
,Douglas,41,1,0,3,37,657,94,549,14,0
,Eagar,12,0,0,1,11,46,12,33,1,1
,El Mirage,85,1,21,22,41,"1,005",458,443,104,2
,Eloy,90,1,4,5,80,508,154,326,28,8
,Flagstaff,307,7,35,57,208,"2,729",161,"2,486",82,36
,Florence,19,0,0,0,19,123,20,94,9,0
,Gilbert,207,5,39,51,112,"3,355",466,"2,754",135,30
,Glendale,"1,217",12,97,481,627,"11,293","1,589","8,541","1,163",48
,Globe,126,1,2,7,116,554,89,409,56,1
,Goodyear,210,2,27,28,153,"2,280",346,"1,817",117,0
,Holbrook,44,1,0,4,39,255,50,189,16,3
,Jerome,2,0,0,0,2,13,6,7,0,0
,Kearny,6,0,0,0,6,28,15,10,3,0
,Kingman,131,2,12,15,102,"1,445",237,"1,119",89,15
,Lake Havasu City,120,0,21,6,93,"1,164",245,848,71,23
,Marana,40,2,7,15,16,"1,184",90,"1,056",38,5
,Maricopa,91,1,10,14,66,604,87,473,44,2
,Mesa,"2,047",23,252,454,"1,318","10,692","1,878","7,930",884,23
,Miami,31,0,0,2,29,92,53,33,6,7
,Nogales,43,0,0,1,42,573,68,385,120,0
,Oro Valley,17,0,2,4,11,626,81,531,14,1
,Page,64,0,4,1,59,372,34,320,18,2
,Paradise Valley,6,0,2,1,3,222,63,155,4,0
,Parker,7,0,0,0,7,119,40,70,9,2
,Patagonia,0,0,0,0,0,2,0,2,0,0
,Payson,58,0,4,3,51,556,158,362,36,3
,Peoria,414,4,66,78,266,"3,385",533,"2,615",237,7
,Phoenix,"12,511",157,"1,142","3,293","7,919","60,353","12,801","39,899","7,653",190
,Pima,3,0,0,0,3,51,13,35,3,1
,Pinetop-Lakeside,35,0,1,2,32,162,43,114,5,0
,Prescott,157,0,11,15,131,903,121,757,25,2
,Prescott Valley,86,0,20,8,58,941,99,824,18,6
,Safford,23,0,0,1,22,363,45,301,17,2
,Sahuarita,28,0,10,3,15,328,36,277,15,3
,San Luis,44,0,3,6,35,523,122,325,76,2
,Scottsdale,396,5,103,100,188,"5,470",878,"4,346",246,23
,Show Low,60,0,6,4,50,434,63,355,16,3
,Sierra Vista,191,0,24,23,144,"1,287",225,998,64,7
,Snowflake-Taylor,45,0,0,1,44,237,71,150,16,14
,Somerton,19,0,0,1,18,160,39,96,25,5
,Springerville,9,0,0,0,9,15,4,10,1,0
,St. Johns,11,0,1,1,9,54,20,33,1,0
,Superior,7,0,0,0,7,105,20,82,3,14
,Surprise,120,2,18,47,53,"2,421",228,"2,018",175,6
,Tempe,883,5,151,229,498,"7,669","1,076","6,120",473,20
,Thatcher,1,0,0,0,1,85,14,71,0,1
,Tolleson,68,0,5,30,33,773,250,453,70,3
,Tucson,"4,268",46,498,"1,431","2,293","27,956","4,424","21,125","2,407",156
,Wickenburg,20,0,5,1,14,142,31,96,15,0
,Willcox,45,0,0,1,44,161,9,146,6,1
,Williams,30,1,5,0,24,87,16,71,0,1
,Winslow,67,1,2,10,54,795,117,638,40,1
,Yuma,491,5,49,90,347,"2,595",502,"1,874",219,34
ARKANSAS,Alexander,23,3,5,3,12,51,12,36,3,1
,Alma,51,0,11,3,37,344,50,280,14,0
,Altus,1,0,0,0,1,13,6,7,0,0
,Amity,3,0,0,0,3,3,1,1,1,0
,Arkadelphia,58,0,6,5,47,367,23,334,10,0
,Ashdown,16,2,2,1,11,185,41,135,9,0
,Atkins,13,0,8,0,5,95,27,66,2,1
,Austin,8,0,3,0,5,21,5,15,1,0
,Bald Knob,11,0,2,1,8,121,38,80,3,0
,Barling,26,0,5,1,20,91,9,76,6,1
,Batesville,30,0,14,1,15,215,24,176,15,1
,Bay,4,0,1,0,3,31,5,24,2,0
,Bearden,1,0,0,0,1,17,7,10,0,0
,Beebe,35,0,5,4,26,375,53,305,17,2
,Bella Vista,72,0,19,3,50,166,33,125,8,0
,Benton,144,0,16,20,108,"1,430",228,"1,079",123,2
,Bentonville,69,0,16,8,45,865,104,723,38,1
,Berryville,20,1,12,2,5,220,54,163,3,2
,Bethel Heights,2,0,0,0,2,23,4,10,9,0
,Black Rock,1,0,0,0,1,3,1,2,0,0
,Blytheville,109,9,2,19,79,921,179,727,15,0
,Bono,11,0,1,0,10,32,8,20,4,0
,Booneville,11,0,6,1,4,154,30,116,8,1
,Bradford,2,0,0,0,2,29,13,15,1,0
,Brinkley,62,0,5,6,51,141,37,94,10,3
,Brookland,6,0,2,0,4,105,14,88,3,0
,Bryant,59,0,9,5,45,990,57,870,63,1
,Bull Shoals,10,0,0,0,10,31,15,12,4,0
,Cabot,57,1,20,5,31,406,92,280,34,0
,Caddo Valley,5,1,0,1,3,32,6,22,4,1
,Camden,166,0,13,11,142,436,126,289,21,6
,Cammack Village,1,0,0,0,1,17,1,13,3,1
,Caraway,0,0,0,0,0,14,2,11,1,0
,Carlisle,2,0,0,0,2,64,10,53,1,0
,Cave Springs,5,0,4,0,1,30,14,14,2,0
,Centerton,44,0,22,0,22,150,40,102,8,0
,Charleston,10,0,5,0,5,32,0,31,1,0
,Cherokee Village,5,0,0,0,5,86,37,47,2,3
,Clarksville,47,0,22,1,24,325,24,289,12,1
,Clinton,6,0,1,0,5,36,10,26,0,0
,Concord,0,0,0,0,0,0,0,0,0,0
,Conway,315,1,41,63,210,"2,314",331,"1,835",148,8
,Corning,7,0,0,0,7,27,10,15,2,0
,Cotter,2,0,0,1,1,21,7,11,3,0
,Crossett,29,0,2,6,21,225,86,135,4,0
,Damascus,0,0,0,0,0,10,2,8,0,0
,Dardanelle,25,0,9,3,13,111,42,56,13,1
,Decatur,13,0,9,0,4,28,10,17,1,0
,Dell,0,0,0,0,0,2,0,2,0,0
,De Queen,16,0,4,1,11,146,40,96,10,1
,Dermott,5,0,1,0,4,29,24,3,2,0
,Des Arc,3,0,1,0,2,18,4,12,2,0
,De Valls Bluff,1,0,0,0,1,3,3,0,0,0
,De Witt,19,1,2,0,16,121,44,75,2,5
,Diaz,3,0,1,0,2,17,6,6,5,0
,Dover,3,0,0,0,3,25,6,19,0,0
,Dumas,18,1,1,2,14,83,35,45,3,0
,Dyer,2,0,1,0,1,13,6,7,0,0
,El Dorado,206,5,11,17,173,838,385,409,44,9
,Elkins,4,0,2,0,2,26,5,20,1,0
,England,19,0,1,0,18,87,33,48,6,0
,Etowah,1,0,0,0,1,9,2,7,0,0
,Eudora,9,0,3,0,6,50,19,23,8,0
,Eureka Springs,10,0,1,1,8,119,42,71,6,1
,Fairfield Bay,5,0,2,1,2,68,19,48,1,0
,Farmington,24,3,8,2,11,99,23,72,4,0
,Fayetteville,515,1,91,71,352,"4,064",463,"3,257",344,12
,Flippin,3,0,0,0,3,60,4,55,1,0
,Fordyce,45,1,4,7,33,196,48,141,7,1
,Fort Smith,787,7,71,107,602,"4,511",832,"3,345",334,14
,Gassville,3,0,0,0,3,50,12,36,2,1
,Gentry,10,0,7,0,3,24,4,19,1,0
,Gosnell,17,0,1,1,15,77,24,53,0,3
,Gravette,13,0,5,0,8,70,6,60,4,1
,Greenbrier,2,0,0,0,2,23,0,18,5,1
,Green Forest,14,0,3,0,11,46,6,38,2,0
,Greenland,11,0,3,1,7,29,2,23,4,0
,Greenwood,15,0,5,0,10,39,14,21,4,0
,Greers Ferry,0,0,0,0,0,17,3,9,5,0
,Gurdon,13,0,1,0,12,41,11,25,5,0
,Guy,1,0,1,0,0,2,2,0,0,0
,Hamburg,9,0,2,0,7,30,19,11,0,0
,Hampton,7,0,0,0,7,17,7,10,0,0
,Hardy,1,0,0,0,1,22,11,10,1,0
,Harrisburg,10,0,0,0,10,71,14,51,6,0
,Harrison,80,1,18,7,54,512,90,394,28,9
,Hazen,4,0,1,0,3,12,7,5,0,0
,Heber Springs,16,0,6,1,9,271,47,207,17,1
,Helena-West Helena,118,8,10,15,85,451,167,260,24,9
,Higginson,0,0,0,0,0,1,0,1,0,0
,Highfill,1,0,0,0,1,2,1,1,0,0
,Highland,4,0,0,0,4,17,5,12,0,0
,Hope,118,1,10,12,95,472,81,365,26,1
,Hot Springs,218,8,20,59,131,"2,518",838,"1,514",166,3
,Hoxie,6,0,1,0,5,16,4,10,2,0
,Hughes,5,0,0,0,5,23,8,14,1,0
,Jacksonville,261,3,22,33,203,"1,271",288,870,113,5
,Johnson,7,0,3,1,3,71,27,37,7,0
,Jonesboro,400,13,54,62,271,"3,124","1,239","1,728",157,12
,Judsonia,1,0,0,0,1,46,13,27,6,0
,Keiser,2,0,0,0,2,3,2,1,0,0
,Kensett,3,1,0,1,1,20,5,13,2,0
,Lake City,4,1,2,0,1,29,10,18,1,1
,Lakeview,0,0,0,0,0,9,4,4,1,0
,Lake Village,10,0,2,3,5,76,18,58,0,1
,Lamar,3,0,0,0,3,24,6,16,2,0
,Lavaca,6,0,0,0,6,21,3,16,2,0
,Leachville,2,0,0,0,2,32,12,19,1,1
,Lewisville,2,0,0,0,2,21,7,12,2,0
,Lincoln,29,0,5,0,24,55,11,40,4,0
,Little Flock,6,2,0,0,4,38,11,25,2,0
,Little Rock,"3,256",55,175,502,"2,524","13,817","2,378","10,309","1,130",51
,Lonoke,38,0,3,2,33,119,26,87,6,5
,Lowell,18,0,5,0,13,124,45,70,9,0
,Luxora,2,0,0,1,1,2,0,2,0,1
,Magnolia,55,0,3,14,38,635,423,195,17,1
,Malvern,44,1,7,5,31,411,134,257,20,4
,Mammoth Spring,1,0,0,0,1,1,0,1,0,0
,Marianna,29,2,3,11,13,189,75,108,6,1
,Marion,133,1,7,19,106,413,81,309,23,1
,Marked Tree,14,0,2,1,11,66,22,41,3,1
,Marmaduke,10,1,1,0,8,29,8,20,1,2
,Marvell,5,0,2,1,2,21,5,14,2,0
,Maumelle,37,0,1,3,33,369,74,270,25,1
,Mayflower,15,0,1,0,14,106,40,60,6,0
,McCrory,15,0,4,0,11,12,6,4,2,1
,McRae,2,0,1,0,1,13,3,9,1,0
,Mena,7,0,2,0,5,220,24,186,10,0
,Menifee,1,0,1,0,0,1,0,1,0,0
,Mineral Springs,0,0,0,0,0,11,2,9,0,0
,Monette,3,0,0,0,3,37,19,18,0,0
,Monticello,37,1,7,11,18,298,76,204,18,3
,Morrilton,10,1,2,1,6,391,49,330,12,3
,Mountainburg,5,0,4,0,1,33,9,22,2,1
,Mountain Home,25,0,14,1,10,439,49,374,16,0
,Mountain View,12,0,1,0,11,69,11,53,5,0
,Mulberry,9,0,1,0,8,64,11,52,1,0
,Murfreesboro,2,0,2,0,0,30,10,20,0,0
,Nashville,13,1,7,1,4,187,22,160,5,3
,Norfork,0,0,0,0,0,2,0,2,0,0
,North Little Rock,530,9,19,124,378,"2,764",541,"1,875",348,15
,Ola,6,0,2,0,4,15,5,8,2,0
,Osceola,155,6,4,16,129,420,201,205,14,1
,Ozark,20,0,4,1,15,124,40,72,12,2
,Paragould,163,0,39,14,110,"1,454",261,"1,071",122,1
,Paris,28,1,1,1,25,123,37,78,8,2
,Pea Ridge,19,0,4,0,15,98,16,81,1,2
,Perryville,5,0,0,0,5,63,14,46,3,0
,Piggott,6,0,0,0,6,75,21,53,1,2
,Pine Bluff,795,22,34,133,606,"2,378",812,"1,282",284,51
,Plumerville,5,0,1,0,4,8,2,6,0,0
,Pocahontas,18,0,2,0,16,283,46,227,10,1
,Pottsville,10,0,3,1,6,39,9,26,4,0
,Prairie Grove,15,0,3,0,12,127,17,108,2,1
,Quitman,1,0,0,0,1,27,2,21,4,0
,Ravenden,2,0,0,0,2,3,0,3,0,0
,Redfield,8,0,1,1,6,22,7,10,5,0
,Rison,1,0,1,0,0,23,8,13,2,0
,Rogers,266,0,101,17,148,"2,006",198,"1,671",137,4
,Rose Bud,0,0,0,0,0,10,3,7,0,0
,Russellville,154,0,23,9,122,"1,069",148,820,101,1
,Salem,4,0,0,1,3,22,4,16,2,0
,Shannon Hills,8,0,0,0,8,27,5,14,8,0
,Sheridan,10,1,1,1,7,196,38,150,8,0
,Sherwood,171,3,15,22,131,"1,313",436,787,90,3
,Siloam Springs,65,2,13,3,47,537,118,385,34,1
,Stamps,1,0,0,1,0,6,0,4,2,0
,Star City,16,0,2,3,11,73,25,41,7,1
,Stuttgart,65,1,11,6,47,336,75,246,15,2
,Sulphur Springs,2,0,0,0,2,16,7,8,1,0
,Swifton,1,0,1,0,0,8,1,7,0,0
,Texarkana,240,2,12,44,182,"1,355",287,988,80,4
,Trumann,48,0,12,2,34,313,76,216,21,3
,Tuckerman,4,0,1,0,3,31,9,18,4,0
,Tyronza,0,0,0,0,0,7,1,5,1,0
,Van Buren,97,0,10,8,79,704,227,448,29,1
,Vilonia,4,0,3,0,1,89,34,53,2,0
,Waldron,12,0,6,1,5,158,38,110,10,6
,Walnut Ridge,13,0,2,0,11,78,19,57,2,2
,Ward,62,1,19,0,42,123,39,77,7,0
,Warren,32,1,9,3,19,124,63,54,7,1
,West Fork,4,0,2,0,2,36,3,30,3,1
,West Memphis,447,7,35,103,302,"1,301",380,819,102,10
,White Hall,4,1,1,0,2,59,13,42,4,1
,Wilson,2,0,0,0,2,16,4,12,0,0
,Wynne,51,0,10,3,38,281,59,211,11,2
CALIFORNIA,Adelanto,238,2,28,48,160,578,190,290,98,13
,Agoura Hills,16,0,2,4,10,278,71,187,20,4
,Alameda,253,0,16,133,104,"2,347",219,"1,725",403,25
,Albany,36,0,1,28,7,523,77,383,63,3
,Alhambra,172,4,17,89,62,"1,877",363,"1,244",270,12
,Aliso Viejo,44,0,4,8,32,394,62,299,33,3
,Alturas,39,2,2,3,32,129,31,88,10,2
,American Canyon ,49,0,5,14,30,413,85,272,56,2
,Anaheim,"1,253",10,115,480,648,"9,296","1,351","6,393","1,552",45
,Anderson,43,0,6,3,34,492,124,267,101,4
,Angels Camp,7,0,1,0,6,57,13,36,8,0
,Antioch,607,10,51,230,316,"3,838",589,"2,261",988,75
,Apple Valley,231,4,19,63,145,"1,565",299,986,280,7
,Arcadia,110,0,7,56,47,"1,534",485,957,92,0
,Arcata,64,1,7,20,36,705,107,487,111,17
,Arroyo Grande,32,0,3,5,24,311,53,226,32,2
,Artesia,103,2,2,31,68,460,153,236,71,2
,Arvin,229,6,8,23,192,453,72,242,139,5
,Atascadero,107,0,8,18,81,518,96,395,27,3
,Atherton,4,0,3,0,1,75,12,61,2,0
,Atwater,188,0,7,23,158,951,185,649,117,7
,Auburn,54,2,5,5,42,271,58,175,38,3
,Avalon,20,0,4,0,16,58,13,35,10,0
,Avenal,66,1,8,5,52,149,62,65,22,4
,Azusa,147,1,16,44,86,"1,203",251,729,223,14
,Bakersfield,"1,827",41,92,753,941,"15,507","3,667","9,063","2,777",269
,Baldwin Park,348,3,26,89,230,"1,405",290,788,327,6
,Banning,151,3,14,17,117,667,254,255,158,0
,Barstow,302,2,17,97,186,988,318,484,186,13
,Bear Valley,5,0,3,0,2,59,11,47,1,0
,Beaumont,182,1,18,19,144,872,195,561,116,2
,Bell,228,0,17,78,133,652,153,348,151,0
,Bellflower,363,5,16,158,184,"1,988",418,"1,065",505,13
,Bell Gardens,100,2,5,47,46,749,87,342,320,6
,Belmont,39,1,4,7,27,377,49,296,32,8
,Belvedere,0,0,0,0,0,11,0,11,0,0
,Benicia,28,0,6,12,10,472,129,273,70,1
,Berkeley,666,1,83,364,218,"6,020",843,"4,556",621,30
,Beverly Hills,118,0,10,50,58,"1,819",402,"1,318",99,6
,Big Bear ,52,1,8,4,39,178,49,112,17,3
,Biggs,17,0,2,0,15,26,7,12,7,0
,Bishop,44,0,10,5,29,296,68,217,11,0
,Blythe,62,0,13,16,33,805,264,492,49,27
,Bradbury,1,0,0,1,0,7,3,4,0,0
,Brawley,176,0,11,12,153,892,146,680,66,16
,Brea,114,2,8,39,65,"1,440",180,"1,160",100,1
,Brentwood,157,0,11,45,101,"1,489",273,"1,084",132,5
,Brisbane,12,0,0,5,7,128,67,49,12,1
,Broadmoor,21,0,2,5,14,77,28,37,12,0
,Buellton,6,0,0,2,4,76,14,55,7,0
