Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,, ,,,,,,,,
"by State by City, 2011",,,,,,,,,,,
State,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson1
,Dothan,343,2,22,106,213,"2,737",607,"2,014",116,0
,Double Springs,1,0,0,0,1,26,9,16,1,1
,Douglas,4,0,0,0,4,96,43,49,4,0
,East Brewton,27,0,3,2,22,95,21,67,7,0
,Eclectic,12,0,1,0,11,45,7,35,3,0
,Elba,29,0,1,4,24,134,34,93,7,0
,Elberta,8,0,0,0,8,45,18,26,1,0
,Enterprise,122,1,15,23,83,"1,081",293,729,59,3
,Eufaula,31,0,8,1,22,634,79,545,10,0
,Eutaw,51,0,2,3,46,96,29,57,10,2
,Evergreen,42,1,6,4,31,214,49,152,13,2
,Excel,0,0,0,0,0,15,1,13,1,1
,Fairfield,191,4,9,82,96,"1,296",446,752,98,1
,Fairhope,46,1,4,9,32,625,124,492,9,0
,Fayette,19,0,0,1,18,119,28,85,6,0
,Flomaton,14,0,0,0,14,53,11,36,6,0
,Florala,6,0,1,0,5,49,9,33,7,0
,Florence,88,1,10,29,48,"1,592",394,"1,155",43,2
,Foley,66,0,4,11,51,693,82,583,28,2
,Fort Deposit,4,0,0,1,3,14,0,13,1,0
,Fort Payne,27,0,2,6,19,488,102,369,17,3
,Fultondale,14,0,1,5,8,434,76,333,25,2
,Fyffe,0,0,0,0,0,38,8,29,1,0
,Gadsden,299,5,25,76,193,"2,973",768,"1,967",238,18
,Gardendale,22,0,3,5,14,444,90,338,16,0
,Geneva,15,0,1,1,13,107,17,86,4,0
,Georgiana,15,0,0,2,13,30,10,18,2,0
,Geraldine,1,0,0,1,0,31,12,16,3,0
,Glencoe,10,0,1,0,9,130,56,67,7,0
,Gordo,7,1,0,0,6,21,11,6,4,0
,Grant,4,0,0,0,4,24,12,10,2,0
,Greensboro,3,0,0,0,3,2,0,2,0,0
,Greenville,69,0,3,8,58,409,65,319,25,0
,Grove Hill,3,0,1,0,2,17,9,8,0,1
,Guin,6,0,1,0,5,34,7,21,6,0
,Gulf Shores,42,0,7,2,33,547,138,391,18,4
,Guntersville,54,0,6,7,41,809,186,595,28,0
,Gurley,2,0,0,0,2,3,2,1,0,0
,Hackleburg,3,0,0,0,3,35,8,22,5,1
,Haleyville,17,0,1,3,13,212,36,169,7,0
,Hamilton,20,1,3,1,15,191,35,145,11,4
,Hanceville,24,0,1,4,19,111,49,56,6,0
,Harpersville,3,0,0,0,3,10,2,8,0,0
,Hartford,18,0,4,1,13,92,11,75,6,0
,Hartselle,20,0,3,4,13,458,89,352,17,0
,Hayneville,9,1,0,0,8,29,18,11,0,21
,Headland,2,0,0,1,1,58,14,42,2,1
,Heflin,11,0,1,1,9,129,35,86,8,0
,Helena,10,0,1,0,9,177,28,138,11,0
,Henagar,2,0,0,0,2,57,15,40,2,0
,Hokes Bluff,5,0,1,0,4,54,18,35,1,0
,Hollywood,0,0,0,0,0,13,5,6,2,0
,Homewood,57,0,5,28,24,989,180,744,65,2
,Hoover,59,0,7,35,17,"2,194",422,"1,663",109,0
,Hueytown,41,2,3,16,20,658,163,474,21,1
,Huntsville,"1,518",13,51,405,"1,049","9,749","2,677","6,306",766,23
,Irondale,50,2,0,17,31,595,223,338,34,2
,Jackson,28,1,3,3,21,254,61,187,6,0
,Jacksonville,31,0,2,8,21,467,154,301,12,5
,Jasper,95,1,8,26,60,"1,019",206,755,58,7
,Jemison,20,0,0,2,18,168,43,109,16,0
,Killen,2,0,0,0,2,46,20,24,2,0
,Kimberly,1,0,0,0,1,23,9,14,0,0
,Kinston,3,0,1,0,2,21,7,12,2,0
,Lafayette,35,0,3,1,31,172,33,132,7,0
,Lake View,5,0,1,0,4,26,10,14,2,0
,Lanett,81,1,4,4,72,663,182,449,32,0
,Leeds,54,1,1,18,34,528,107,390,31,1
,Leesburg,9,0,0,1,8,69,17,50,2,0
,Leighton,0,0,0,0,0,16,7,9,0,0
,Level Plains,6,0,0,1,5,52,19,21,12,1
,Lincoln,27,1,2,4,20,315,91,209,15,0
,Linden,2,0,0,0,2,84,37,45,2,0
,Lineville,20,0,1,0,19,39,9,26,4,0
,Lipscomb,18,0,1,4,13,92,40,44,8,4
,Littleville,2,0,0,0,2,18,5,10,3,0
,Livingston,19,0,1,0,18,96,26,65,5,0
,Loxley,7,0,0,0,7,156,22,107,27,0
,Madison,103,1,19,20,63,902,217,630,55,21
,Maplesville,1,0,1,0,0,16,4,8,4,0
,Margaret,5,0,0,0,5,32,8,23,1,0
,Marion,0,0,0,0,0,0,0,0,0,1
,McIntosh,7,0,0,4,3,29,5,20,4,0
,Midfield,30,1,1,18,10,346,178,151,17,0
,Midland City,2,0,0,0,2,18,4,11,3,0
,Millbrook,40,0,9,6,25,654,214,421,19,0
,Mobile3,"1,619",30,48,637,904,"13,650","4,058","8,891",701,70
,Monroeville,96,2,8,7,79,494,84,386,24,2
,Montevallo,27,1,2,11,13,191,36,145,10,1
,Montgomery,707,31,38,354,284,"10,744","2,885","7,043",816,31
,Moody,14,0,0,2,12,279,56,203,20,0
,Morris,4,0,0,1,3,33,5,24,4,1
,Moulton,8,0,1,0,7,101,35,58,8,1
,Moundville,13,0,1,1,11,72,18,50,4,0
,Mountain Brook,12,0,1,6,5,358,75,276,7,1
,Mount Vernon,28,1,1,3,23,114,29,72,13,1
,Muscle Shoals,65,1,2,12,50,576,129,413,34,0
,Napier Field,2,0,0,0,2,16,4,10,2,0
,New Brockton,12,0,0,3,9,36,17,16,3,0
,New Site,2,0,0,1,1,11,2,9,0,0
,Newton,4,0,0,0,4,35,11,19,5,0
,Northport,153,3,8,32,110,886,243,579,64,3
,Notasulga,10,0,1,1,8,93,55,36,2,0
,Odenville,16,0,1,0,15,81,15,53,13,2
,Oneonta,37,0,0,2,35,174,24,137,13,0
,Opelika,115,2,17,41,55,"2,036",406,"1,597",33,0
,Opp,7,0,0,2,5,158,27,131,0,0
,Orange Beach,12,0,5,0,7,330,61,255,14,0
,Owens Crossroads,0,0,0,0,0,11,3,8,0,0
,Oxford,108,4,6,20,78,"1,301",226,"1,003",72,2
,Ozark,110,1,6,24,79,886,161,668,57,2
,Parrish,2,0,0,0,2,40,1,35,4,0
,Pelham,20,1,1,3,15,405,57,332,16,1
,Pell City,63,0,4,8,51,566,101,435,30,3
,Phenix City,214,7,22,39,146,"2,185",590,"1,379",216,0
,Phil Campbell,3,0,0,0,3,19,5,12,2,0
,Piedmont,22,0,2,2,18,295,75,212,8,0
,Pine Hill,19,1,2,2,14,36,9,27,0,0
,Pleasant Grove,18,0,2,3,13,200,66,123,11,1
,Powell,1,0,0,0,1,19,7,11,1,0
,Prattville,60,1,6,24,29,"1,289",207,"1,001",81,1
,Priceville,0,0,0,0,0,53,11,32,10,0
,Prichard,484,6,10,182,286,"1,850",825,798,227,22
,Ragland,4,0,0,1,3,30,8,21,1,0
,Rainbow City,16,0,1,4,11,325,65,237,23,0
,Rainsville,7,0,1,0,6,117,19,93,5,0
,Red Bay,9,0,2,2,5,76,9,61,6,0
,Reform,10,0,2,0,8,51,17,33,1,0
,Riverside,8,0,2,0,6,53,17,34,2,1
,Roanoke,32,0,3,3,26,220,35,172,13,0
,Robertsdale,24,0,3,5,16,276,62,206,8,1
,Rogersville,9,0,1,1,7,77,23,48,6,1
,Russellville,54,0,3,18,33,363,123,223,17,0
,Samson,19,0,2,2,15,90,19,65,6,2
,Saraland,41,0,3,11,27,687,108,554,25,2
,Sardis City,1,0,0,0,1,60,18,36,6,1
,Satsuma,0,0,0,0,0,0,0,0,0,0
,Scottsboro,42,0,1,5,36,550,125,410,15,0
,Selma,333,3,16,71,243,"2,464",779,"1,547",138,0
,Sheffield,85,0,4,14,67,550,146,369,35,0
,Shorter,5,0,0,1,4,24,12,10,2,1
,Silverhill,3,0,0,0,3,56,11,41,4,2
,Slocomb,12,0,0,1,11,81,19,55,7,0
,Snead,9,0,2,0,7,48,15,29,4,0
,Southside,15,0,2,0,13,92,20,62,10,1
,Springville,1,0,0,1,0,98,24,71,3,0
,Steele,2,0,0,0,2,21,5,8,8,1
,Stevenson,5,0,0,0,5,11,4,7,0,0
,St. Florian,2,0,1,0,1,20,6,12,2,0
,Sulligent,1,0,0,0,1,63,16,46,1,1
,Sumiton,13,0,0,4,9,191,28,160,3,3
,Summerdale,8,0,2,0,6,44,8,33,3,0
,Sylacauga,39,1,6,9,23,721,202,503,16,0
,Sylvania,1,0,0,0,1,14,0,13,1,0
,Talladega,115,4,13,14,84,"1,276",371,829,76,1
,Tarrant,52,1,6,31,14,559,236,296,27,0
,Taylor,1,0,0,0,1,17,4,13,0,0
,Thomasville,30,0,0,4,26,169,50,103,16,2
,Thorsby,2,0,0,0,2,15,2,10,3,1
,Town Creek,8,0,0,0,8,34,13,17,4,0
,Trinity,6,0,1,0,5,69,27,32,10,0
,Troy,141,1,7,30,103,945,250,648,47,2
,Trussville,0,0,0,0,0,133,106,2,25,0
,Tuscaloosa,432,3,39,194,196,"4,402","1,249","2,963",190,20
,Tuscumbia,38,1,0,7,30,397,107,264,26,0
,Tuskegee,77,2,1,14,60,557,266,254,37,4
,Valley,69,0,6,5,58,613,159,425,29,2
,Vance,10,0,0,1,9,50,11,33,6,0
,Vernon,2,0,0,2,0,29,8,18,3,0
,Vestavia Hills,25,0,4,7,14,524,117,376,31,2
,Warrior,14,0,1,1,12,86,26,53,7,2
,Weaver,31,0,2,0,29,148,47,89,12,2
,Wedowee,0,0,0,0,0,28,8,19,1,0
,Wetumpka,33,0,3,8,22,329,71,247,11,0
,Winfield,13,0,0,1,12,142,31,106,5,4
,Woodstock,12,0,1,2,9,105,15,79,11,1
,York,9,0,0,7,2,83,25,49,9,2
ALASKA,Anchorage,"2,388",12,283,465,"1,628","9,455","1,080","7,750",625,126
,Bethel,63,1,14,3,45,105,35,39,31,2
,Bristol Bay Borough,2,0,0,0,2,27,1,15,11,0
,Cordova,11,0,0,0,11,37,5,27,5,0
,Craig,4,0,0,1,3,41,10,26,5,0
,Dillingham,41,0,14,2,25,61,8,35,18,0
,Fairbanks,177,2,17,33,125,"1,232",130,"1,026",76,5
,Haines,14,0,0,0,14,27,2,24,1,1
,Homer,34,0,0,0,34,190,36,151,3,0
,Juneau,159,0,14,25,120,"1,225",111,"1,075",39,18
,Kenai,21,0,3,0,18,228,18,203,7,0
,Ketchikan,28,0,7,2,19,440,36,386,18,2
,Kodiak,92,0,4,2,86,250,33,192,25,4
,Nome,34,1,4,0,29,48,16,23,9,1
,North Pole,11,0,0,3,8,80,9,69,2,1
,North Slope Borough,94,0,13,1,80,116,31,64,21,0
,Palmer,19,0,1,1,17,197,19,176,2,1
,Petersburg,13,0,0,0,13,131,7,122,2,0
,Seward,2,0,0,0,2,92,12,77,3,0
,Sitka,16,0,1,3,12,199,28,167,4,1
,Skagway,2,0,0,0,2,20,4,13,3,0
,Soldotna,16,0,1,2,13,196,13,173,10,1
,Unalaska,17,0,0,0,17,89,10,70,9,0
,Valdez,11,0,0,0,11,82,6,70,6,0
,Wasilla,42,1,4,3,34,423,59,341,23,1
,Wrangell,3,0,0,0,3,31,4,22,5,0
ARIZONA,Apache Junction,84,4,5,8,67,"1,239",308,848,83,0
,Avondale,246,6,6,103,131,"3,919",712,"2,975",232,16
,Bisbee,91,0,0,0,91,167,14,143,10,1
,Buckeye,43,0,1,11,31,"1,341",397,898,46,5
,Bullhead City,57,3,0,25,29,"1,491",351,"1,068",72,4
,Camp Verde,20,1,0,1,18,213,57,145,11,1
,Casa Grande,232,4,3,53,172,"2,664",625,"1,892",147,22
,Chandler,681,2,62,171,446,"7,416","1,344","5,741",331,35
,Chino Valley,43,0,1,0,42,220,47,157,16,0
,Clarkdale,13,0,0,0,13,103,60,39,4,1
,Clifton,11,0,0,1,10,23,10,11,2,0
,Colorado City,8,0,1,0,7,40,9,29,2,1
,Coolidge,85,0,8,19,58,612,136,454,22,7
,Cottonwood,54,0,1,3,50,462,58,389,15,14
,Douglas4,,1,0,5,,580,65,465,50,4
,Eagar,7,0,0,1,6,148,55,87,6,0
,El Mirage,95,2,14,23,56,"1,041",387,585,69,5
,Eloy,98,3,4,10,81,479,162,284,33,10
,Flagstaff,263,0,45,38,180,"3,008",235,"2,706",67,24
,Florence,34,0,1,1,32,191,54,126,11,2
,Fredonia,2,0,2,0,0,9,3,6,0,0
,Gilbert,178,2,21,56,99,"3,854",823,"2,896",135,25
,Glendale,"1,114",22,44,431,617,"14,738","2,442","10,838","1,458",65
,Globe,51,0,7,5,39,349,107,229,13,2
,Goodyear,108,0,19,21,68,"1,860",814,940,106,6
,Holbrook,39,0,5,3,31,246,70,168,8,0
,Huachuca City,4,0,0,1,3,23,5,18,0,1
,Jerome,2,0,0,1,1,20,4,16,0,0
,Kingman,101,2,7,14,78,"1,520",303,"1,153",64,4
,Lake Havasu City,98,1,26,3,68,"1,268",228,974,66,5
,Mammoth,1,0,0,0,1,13,6,7,0,0
,Marana,47,2,7,12,26,"1,373",164,"1,126",83,5
,Maricopa,60,0,4,12,44,979,263,648,68,1
,Mesa,"1,838",18,131,497,"1,192","15,117","2,769","11,407",941,74
,Miami,18,0,0,2,16,80,29,42,9,4
,Nogales,59,1,1,3,54,611,111,433,67,0
,Oro Valley,24,1,2,6,15,744,142,576,26,3
,Page,105,0,1,10,94,498,41,429,28,7
,Paradise Valley,10,0,3,2,5,302,195,104,3,0
,Payson,49,0,3,5,41,374,92,264,18,0
,Peoria,301,2,35,56,208,"4,774","1,088","3,360",326,6
,Phoenix,"8,089",116,559,"3,324","4,090","64,479","18,666","38,258","7,555",273
,Pima,1,0,0,0,1,71,21,47,3,0
,Pinetop-Lakeside,42,0,1,6,35,239,54,182,3,3
,Prescott,171,4,12,13,142,"1,258",260,960,38,6
,Prescott Valley,113,3,6,6,98,780,120,635,25,6
,Sahuarita,14,0,2,1,11,449,66,370,13,8
,Scottsdale,400,4,34,125,237,"6,724","1,424","5,054",246,25
,Sedona,26,0,2,0,24,175,38,134,3,0
,Show Low,81,2,4,6,69,501,110,383,8,5
,Sierra Vista,145,2,21,14,108,"1,326",167,"1,114",45,9
,Snowflake-Taylor,48,0,0,1,47,162,44,113,5,2
,Somerton,12,0,0,4,8,186,32,137,17,1
,South Tucson,149,3,4,55,87,926,101,801,24,2
,Springerville,10,0,1,0,9,60,13,45,2,0
,Surprise,131,0,12,51,68,"2,598",617,"1,873",108,22
,Tempe,787,5,45,237,500,"8,933","1,579","6,804",550,28
,Thatcher,4,0,0,0,4,119,60,57,2,0
,Tolleson,56,0,7,8,41,775,210,526,39,4
,Tombstone,17,0,0,1,16,101,19,77,5,0
,Tucson5,"3,440",51,204,"1,163","2,022",,"4,979",,"2,746",167
,Wellton,1,0,0,0,1,8,2,5,1,0
,Wickenburg,8,1,3,0,4,140,42,93,5,2
,Willcox,6,0,1,0,5,232,34,182,16,5
,Williams,25,0,3,0,22,122,17,101,4,0
,Winslow,121,2,6,2,111,570,69,488,13,2
,Yuma,490,4,33,66,387,"3,227",822,"2,196",209,23
ARKANSAS,Alma,20,0,3,1,16,231,77,148,6,0
,Arkadelphia,60,0,3,5,52,387,91,281,15,0
,Ashdown,17,0,4,2,11,206,46,157,3,1
,Ash Flat,0,0,0,0,0,14,2,12,0,0
,Atkins,6,0,1,1,4,76,24,51,1,1
,Augusta,0,0,0,0,0,0,0,0,0,0
,Austin,1,0,0,0,1,26,21,5,0,0
,Bald Knob,2,0,0,0,2,101,45,44,12,0
,Barling,13,0,2,1,10,77,27,48,2,2
,Bay,0,0,0,0,0,32,11,20,1,0
,Bearden,3,0,0,1,2,20,10,7,3,0
,Beebe,44,0,4,1,39,253,87,157,9,0
,Bella Vista,22,0,8,0,14,182,70,111,1,0
,Benton,122,0,4,11,107,"1,469",344,"1,040",85,3
,Bentonville,85,0,17,1,67,768,135,612,21,2
,Berryville,14,1,4,0,9,286,73,203,10,3
,Blytheville,203,6,7,74,116,"1,491",659,785,47,5
,Booneville,31,0,3,1,27,152,56,92,4,1
,Bryant,10,0,5,5,0,911,207,658,46,1
,Bull Shoals,5,0,0,0,5,39,14,25,0,0
,Cabot,46,0,6,2,38,987,481,474,32,0
,Caddo Valley,3,0,1,1,1,19,4,14,1,0
,Camden,78,1,2,11,64,605,185,409,11,2
,Cammack Village,0,0,0,0,0,15,12,3,0,0
,Carlisle,1,0,0,1,0,36,17,19,0,0
,Cave City,2,0,0,0,2,33,6,26,1,1
,Cave Springs,0,0,0,0,0,25,15,10,0,0
,Centerton,15,0,4,0,11,86,32,51,3,0
,Charleston,3,0,0,0,3,19,1,18,0,0
,Cherokee Village,6,0,1,0,5,186,77,108,1,0
,Clarendon,2,0,0,1,1,50,26,24,0,0
,Clarksville,22,0,7,1,14,425,72,344,9,0
,Clinton,3,0,0,0,3,45,6,36,3,0
,Conway,247,4,22,82,139,"2,719",406,"2,208",105,5
,Crossett,14,0,3,0,11,276,114,157,5,6
,Danville,1,0,0,0,1,5,4,1,0,0
,Dardanelle,37,0,4,1,32,264,95,164,5,1
,Decatur,1,0,0,0,1,17,10,7,0,0
,De Queen,11,0,0,3,8,117,57,57,3,1
,Des Arc,5,0,0,1,4,8,1,6,1,0
,De Witt,24,0,0,2,22,119,42,74,3,1
,Dumas,14,1,1,3,9,136,49,83,4,0
,Earle,19,0,0,4,15,170,69,101,0,0
,El Dorado,231,2,1,37,191,"1,138",555,545,38,13
,Eureka Springs,6,0,1,0,5,102,22,76,4,1
,Fairfield Bay,8,0,1,0,7,43,18,25,0,0
,Farmington,21,0,6,2,13,110,29,78,3,0
,Fayetteville,299,1,47,38,213,"3,068",513,"2,424",131,8
,Flippin,10,0,0,0,10,55,9,45,1,0
,Fordyce,20,0,1,1,18,153,60,87,6,5
,Fort Smith,601,5,63,100,433,"4,703","1,110","3,389",204,20
,Gassville,2,0,0,0,2,24,4,19,1,0
,Glenwood,12,1,2,0,9,31,15,16,0,1
,Gosnell,22,0,2,0,20,125,84,39,2,0
,Gravette,5,0,0,1,4,46,10,33,3,1
,Greenbrier,1,0,0,0,1,1,0,1,0,0
,Green Forest,14,0,7,0,7,78,31,45,2,0
,Greenland,10,0,1,1,8,18,6,12,0,0
,Greenwood,28,0,0,1,27,113,43,69,1,0
,Gurdon,10,0,0,0,10,63,26,36,1,0
,Guy,1,0,0,0,1,10,0,9,1,0
,Hamburg,7,0,2,2,3,57,13,44,0,1
,Hampton,6,0,0,0,6,32,11,20,1,1
,Harrison,58,1,6,1,50,619,186,406,27,1
,Highfill,0,0,0,0,0,11,2,8,1,0
,Highland,1,0,0,0,1,14,4,10,0,0
,Hope,101,0,7,12,82,641,190,417,34,5
,Horseshoe Bend,3,0,1,0,2,25,12,13,0,0
,Hot Springs,328,2,22,47,257,"2,847",589,"2,130",128,3
,Jacksonville,234,0,24,23,187,"1,586",428,"1,087",71,2
,Jonesboro,333,1,44,81,207,"3,347","1,276","1,968",103,15
,Judsonia,3,0,0,0,3,58,13,36,9,1
,Keiser,1,0,1,0,0,6,5,1,0,0
,Lake City,1,0,1,0,0,10,4,6,0,0
,Lake Village,47,1,0,1,45,69,21,48,0,0
,Lepanto,10,0,2,1,7,40,17,22,1,1
,Lewisville,2,0,0,0,2,29,11,18,0,0
,Lincoln,3,0,2,0,1,28,12,16,0,0
,Little Rock,"2,905",37,161,858,"1,849","15,504","4,655","9,756","1,093",99
,Lonoke,24,1,0,2,21,197,46,148,3,1
,Lowell,8,0,2,0,6,186,60,116,10,0
,Madison,2,0,1,0,1,11,3,7,1,0
,Magnolia,51,0,3,7,41,382,185,184,13,6
,Malvern,28,1,2,2,23,233,79,143,11,2
,Marianna,3,0,2,1,0,134,59,74,1,0
,Marion,70,2,8,7,53,426,150,262,14,1
,Marked Tree,1,0,0,1,0,66,16,50,0,0
,Maumelle,30,2,4,1,23,304,130,162,12,0
,Mayflower,10,0,0,0,10,84,22,55,7,0
,McGehee,52,1,0,1,50,124,40,80,4,0
,McRae,0,0,0,0,0,15,4,11,0,0
,Mena,23,0,6,1,16,274,93,180,1,1
,Mineral Springs,5,0,0,0,5,11,10,1,0,0
,Monette,6,0,1,0,5,9,2,7,0,1
,Monticello,50,2,5,8,35,457,134,307,16,0
,Morrilton,19,1,2,2,14,477,50,416,11,2
,Mountain Home,8,0,1,0,7,526,26,491,9,0
,Mountain View,8,0,1,0,7,78,28,48,2,0
,Mulberry,5,0,1,0,4,71,29,42,0,0
,Murfreesboro,5,0,0,0,5,13,0,13,0,0
,Nashville,11,0,6,0,5,189,51,138,0,1
,North Little Rock,611,12,20,216,363,"5,519","1,101","4,067",351,17
,Osceola,96,3,7,7,79,489,151,322,16,11
,Ozark,27,0,7,1,19,127,40,83,4,1
,Paragould,120,1,14,8,97,"1,842",574,"1,186",82,9
,Paris,6,0,0,0,6,161,65,87,9,3
,Pea Ridge,8,0,2,0,6,56,14,39,3,0
,Perryville,4,0,1,0,3,31,17,14,0,0
,Piggott,4,0,0,0,4,105,64,40,1,0
,Pine Bluff,683,12,41,152,478,"4,008","1,565","2,168",275,49
,Plainview,1,0,0,0,1,18,7,11,0,0
,Plummerville,2,0,0,1,1,10,3,7,0,1
,Pocahontas,8,0,0,0,8,23,4,19,0,0
,Pottsville,8,0,0,1,7,25,10,11,4,0
,Prairie Grove,16,0,2,0,14,122,26,96,0,1
,Prescott,14,1,4,1,8,193,77,105,11,1
,Quitman,1,0,0,0,1,23,1,19,3,0
,Ravenden,2,0,0,0,2,2,1,1,0,0
,Redfield,0,0,0,0,0,26,10,13,3,0
,Rogers,220,1,38,12,169,"2,291",481,"1,755",55,9
,Rose Bud,0,0,0,0,0,12,5,6,1,0
,Russellville,100,0,12,15,73,"1,099",256,774,69,3
,Salem,1,0,1,0,0,25,13,11,1,1
,Searcy,79,1,12,11,55,"1,190",440,735,15,3
,Sheridan,21,0,4,0,17,182,81,98,3,0
,Sherwood,149,2,5,16,126,982,201,748,33,3
,Siloam Springs,45,0,9,4,32,356,74,270,12,3
,Stamps,3,0,0,0,3,28,8,20,0,0
,Star City,4,0,2,0,2,19,13,6,0,0
,Stuttgart,24,0,5,4,15,476,172,282,22,2
,Texarkana,245,1,10,35,199,"2,270",525,"1,623",122,3
,Trumann,49,1,4,6,38,537,160,373,4,2
,Tuckerman,9,1,0,0,8,16,13,3,0,2
,Van Buren,70,0,7,6,57,659,196,441,22,1
,Vilonia,4,0,0,0,4,75,34,40,1,0
,Waldron,11,0,4,1,6,219,97,118,4,4
,Ward,24,0,3,2,19,146,71,68,7,0
,Warren,23,1,2,5,15,185,113,68,4,1
,West Memphis,615,4,37,115,459,"2,636","1,361","1,166",109,12
,White Hall,3,0,0,2,1,102,27,60,15,0
,Wynne,16,0,7,5,4,344,119,220,5,1
CALIFORNIA,Adelanto,164,1,18,34,111,885,410,363,112,15
,Agoura Hills,15,0,1,3,11,255,74,168,13,1
,Alameda,207,1,15,94,97,"1,898",315,"1,323",260,15
,Albany,37,0,4,26,7,476,85,338,53,2
,Alhambra,152,1,7,57,87,"1,891",312,"1,362",217,6
,Aliso Viejo,30,0,2,8,20,437,75,349,13,2
,Alturas,18,0,3,2,13,54,15,36,3,4
,American Canyon,44,0,3,19,22,527,126,356,45,1
,Anaheim,"1,281",15,105,446,715,"8,493","1,410","5,964","1,119",26
,Anderson,75,1,3,10,61,417,81,298,38,4
,Antioch,818,5,21,290,502,"3,873","1,335","1,571",967,56
,Apple Valley,157,4,16,53,84,"1,952",685,"1,052",215,16
,Arcadia,68,1,5,24,38,"1,699",408,"1,206",85,4
,Arcata,48,0,5,12,31,624,74,499,51,20
,Arroyo Grande,23,0,0,4,19,344,88,238,18,13
,Artesia,66,0,1,31,34,327,97,185,45,0
,Arvin,165,1,0,15,149,529,164,250,115,18
,Atascadero,67,0,11,8,48,702,165,502,35,3
,Atherton,3,0,0,0,3,135,11,121,3,2
,Atwater,129,0,5,37,87,"1,230",355,773,102,14
,Auburn,52,1,3,10,38,297,58,202,37,0
,Avalon,18,0,0,2,16,51,13,29,9,0
,Avenal,69,1,3,8,57,184,92,82,10,2
,Azusa,239,0,14,49,176,"1,048",277,641,130,4
,Bakersfield,"1,866",18,39,548,"1,261","14,840","4,321","8,123","2,396",125
,Baldwin Park,242,1,9,90,142,"1,601",315,883,403,6
