Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2018",,,,,,,,,,,
State,City,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,Craig,8,0,1,0,7,25,5,19,1,0
,Dillingham,32,0,9,1,22,44,7,31,6,1
,Fairbanks,193,4,21,43,125,"1,354",111,"1,089",154,4
,Haines,3,0,0,0,3,16,4,12,0,0
,Homer,12,0,0,2,10,216,24,182,10,0
,Juneau,264,1,41,37,185,"1,550",294,"1,125",131,5
,Kenai,62,1,19,1,41,561,49,462,50,0
,Ketchikan,25,1,6,4,14,410,38,348,24,1
,Kodiak,48,0,12,0,36,259,81,156,22,0
,Kotzebue,106,1,19,12,74,140,20,92,28,1
,Nome4,103,0,39,1,63,37,5,26,6,0
,North Pole,11,0,1,0,10,62,1,59,2,1
,North Slope Borough,148,1,14,3,130,89,27,54,8,0
,Palmer,26,0,3,2,21,244,12,215,17,0
,Petersburg,10,0,0,1,9,77,15,56,6,0
,Seward,6,0,0,0,6,74,10,61,3,0
,Sitka,21,0,0,4,17,227,17,196,14,0
,Skagway,0,0,0,0,0,9,1,8,0,0
,Soldotna,18,0,1,5,12,167,8,152,7,2
,Unalaska,17,0,3,0,14,49,5,34,10,2
,Valdez,5,0,3,0,2,68,11,55,2,0
,Wasilla,61,0,1,10,50,637,92,470,75,4
,Wrangell,1,0,1,0,0,23,1,18,4,0
ARIZONA,Apache Junction,81,0,0,16,65,773,118,575,80,5
,Avondale,286,6,20,73,187,"2,739",384,"2,111",244,18
,Buckeye,125,1,30,16,78,"1,348",171,"1,113",64,1
,Bullhead City,149,1,20,34,94,"1,444",362,945,137,4
,Camp Verde,31,0,3,3,25,212,53,142,17,0
,Casa Grande,346,1,32,34,279,"1,478",228,"1,144",106,6
,Chandler,606,4,146,123,333,"5,430",658,"4,455",317,15
,Chino Valley,42,1,3,1,37,179,33,132,14,0
,Clarkdale,4,0,0,0,4,46,11,29,6,0
,Coolidge,37,0,2,10,25,433,66,331,36,5
,Eagar,9,0,1,0,8,38,4,31,3,1
,El Mirage,77,1,15,12,49,933,397,448,88,11
,Eloy,81,0,8,2,71,351,70,252,29,6
,Flagstaff,342,2,37,40,263,"2,465",178,"2,234",53,48
,Florence,34,0,2,0,32,127,16,105,6,0
,Fredonia,5,1,0,0,4,11,5,3,3,1
,Gilbert,234,2,75,32,125,"3,273",406,"2,715",152,16
,Glendale,"1,167",9,110,325,723,"10,186","1,641","7,491","1,054",62
,Globe,157,3,2,3,149,541,76,418,47,3
,Goodyear,203,2,35,33,133,"2,081",358,"1,624",99,0
,Hayden,5,0,0,0,5,39,20,16,3,1
,Holbrook,18,0,0,1,17,189,44,130,15,2
,Jerome,1,0,0,0,1,10,3,7,0,0
,Kearny,5,0,1,0,4,25,4,20,1,2
,Kingman,118,1,5,15,97,"1,152",174,898,80,15
,Lake Havasu City,88,2,20,6,60,830,155,615,60,5
,Marana,33,0,7,5,21,"1,076",62,962,52,7
,Maricopa,93,1,13,7,72,489,57,399,33,0
,Mesa,"1,837",17,238,417,"1,165","10,024","1,563","7,598",863,12
,Miami,18,0,0,2,16,26,21,5,0,1
,Nogales,41,2,0,0,39,610,82,392,136,0
,Oro Valley,17,0,6,3,8,610,67,525,18,0
,Page,79,0,7,4,68,387,34,330,23,5
,Paradise Valley,3,0,1,1,1,196,46,141,9,0
,Parker,6,0,0,1,5,116,38,63,15,0
,Payson,63,0,3,4,56,403,94,292,17,3
,Peoria,388,3,57,68,260,"3,241",519,"2,505",217,6
,Phoenix,"12,110",132,"1,086","3,112","7,780","57,732","10,479","39,438","7,815",242
,Pinetop-Lakeside,48,1,0,1,46,110,14,93,3,
,Prescott,136,2,11,2,121,896,107,749,40,5
,Prescott Valley,67,1,10,5,51,776,73,676,27,1
,Quartzsite,15,0,1,1,13,105,24,71,10,2
,Safford,32,0,0,3,29,282,46,219,17,2
,Sahuarita,38,0,8,6,24,348,42,281,25,0
,San Luis,8,1,3,1,3,472,56,317,99,0
,Scottsdale,422,7,122,87,206,"5,683",711,"4,700",272,17
,Show Low,59,0,7,0,52,427,60,350,17,0
,Sierra Vista,104,0,26,14,64,"1,121",153,923,45,2
,Snowflake-Taylor,36,0,0,0,36,178,59,106,13,3
,Somerton,19,2,0,1,16,218,63,121,34,4
,Springerville,2,1,0,0,1,18,3,13,2,0
,St. Johns,21,0,3,1,17,48,11,37,0,2
,Superior,7,0,0,0,7,75,17,54,4,21
,Surprise,165,7,21,37,100,"2,103",239,"1,672",192,5
,Tempe,913,5,176,189,543,"7,802","1,017","6,247",538,12
,Thatcher,0,0,0,0,0,70,12,56,2,0
,Tolleson,61,3,3,23,32,671,213,376,82,3
,Tombstone,3,0,0,0,3,22,1,19,2,1
,Tucson,"3,958",47,504,"1,224","2,183","26,623","3,257","20,798","2,568",158
,Wellton,6,3,1,0,2,31,13,15,3,0
,Wickenburg,25,0,4,0,21,128,29,71,28,1
,Willcox,9,0,0,1,8,159,43,107,9,2
,Williams,13,0,1,1,11,85,10,74,1,0
,Winslow,83,1,8,9,65,410,64,326,20,1
,Yuma,491,9,37,55,390,"2,041",407,"1,417",217,18
ARKANSAS,Alexander,16,2,1,1,12,76,20,47,9,0
,Alma,40,0,12,3,25,245,36,199,10,0
,Altus,1,0,1,0,0,11,5,6,0,0
,Amity,3,0,0,0,3,8,1,4,3,0
,Arkadelphia,45,0,12,4,29,256,43,204,9,0
,Ashdown,16,0,5,1,10,120,24,93,3,0
,Ash Flat,2,0,0,0,2,16,1,15,0,0
,Atkins,7,0,4,1,2,80,19,59,2,1
,Austin,7,0,2,2,3,25,14,10,1,0
,Bald Knob,11,0,3,0,8,90,28,57,5,1
,Barling,24,0,6,0,18,92,13,77,2,1
,Batesville,46,0,11,4,31,311,48,249,14,1
,Bay,1,0,1,0,0,19,4,15,0,0
,Beebe,29,0,7,1,21,280,43,224,13,3
,Bella Vista,53,0,23,0,30,193,30,157,6,0
,Benton5,182,1,17,22,142,,,"1,124",105,5
,Bentonville,106,0,28,5,73,705,110,568,27,2
,Berryville,14,0,7,1,6,191,51,136,4,1
,Bethel Heights,2,0,1,0,1,14,4,7,3,0
,Blytheville,137,6,4,22,105,837,117,696,24,0
,Bono,21,0,8,0,13,39,11,28,0,0
,Booneville,5,0,4,0,1,92,19,71,2,0
,Bradford,4,0,1,0,3,23,2,19,2,0
,Brinkley,40,1,4,5,30,124,32,86,6,1
,Brookland,8,0,2,1,5,43,8,33,2,0
,Bryant,32,0,2,2,28,889,38,794,57,0
,Bull Shoals,9,0,1,0,8,53,14,39,0,0
,Cabot,39,0,10,7,22,403,92,278,33,0
,Caddo Valley,2,0,1,0,1,31,4,24,3,0
,Camden,127,0,16,10,101,488,155,313,20,3
,Caraway,5,0,1,0,4,13,2,11,0,0
,Carlisle,6,0,3,0,3,48,7,35,6,0
,Cave Springs,1,0,1,0,0,32,6,25,1,0
,Cedarville,1,0,0,0,1,12,4,7,1,0
,Centerton,59,0,26,0,33,130,30,97,3,0
,Charleston,3,0,1,0,2,20,3,17,0,0
,Cherokee Village,12,0,3,0,9,81,35,41,5,0
,Cherry Valley,3,0,0,0,3,7,2,4,1,0
,Clarksville,26,0,10,3,13,348,46,293,9,1
,Clinton,4,0,1,0,3,94,16,77,1,0
,Conway,361,5,50,56,250,"2,229",248,"1,881",100,3
,Corning,4,0,1,0,3,39,14,25,0,0
,Cotter,5,0,0,0,5,21,10,11,0,1
,Crossett,26,2,6,2,16,223,86,128,9,4
,Damascus,0,0,0,0,0,6,0,6,0,0
,Danville,1,0,0,0,1,12,4,6,2,0
,Dardanelle,16,0,7,0,9,124,40,76,8,0
,Decatur,15,0,9,0,6,50,11,34,5,1
,De Queen,19,0,1,1,17,155,44,107,4,2
,Des Arc,9,0,5,0,4,34,8,25,1,0
,DeWitt,39,0,3,0,36,115,42,65,8,3
,Diamond City,0,0,0,0,0,3,2,1,0,0
,Diaz,2,0,0,0,2,17,6,9,2,1
,Dover,1,0,0,0,1,31,7,22,2,0
,Dumas,12,0,0,5,7,41,18,21,2,2
,El Dorado5,,,11,27,158,"1,069",576,437,56,2
,Elkins,8,0,1,0,7,23,3,20,0,0
,Eudora,20,0,1,0,19,53,19,33,1,1
,Eureka Springs,20,0,3,1,16,109,29,69,11,0
,Fairfield Bay,7,0,3,0,4,60,16,43,1,2
,Farmington,16,0,3,1,12,86,19,62,5,1
,Fayetteville,496,1,81,60,354,"3,768",444,"2,894",430,5
,Flippin,5,0,2,0,3,116,23,91,2,0
,Fordyce,46,0,3,5,38,154,41,110,3,3
,Forrest City,132,3,4,18,107,882,154,552,176,11
,Fort Smith,707,9,86,97,515,"4,265",711,"3,268",286,17
,Gassville,8,0,1,0,7,87,19,64,4,1
,Gentry,6,0,4,0,2,21,0,14,7,0
,Gosnell,19,0,0,0,19,33,11,21,1,1
,Gravette,18,0,4,0,14,84,14,67,3,0
,Green Forest,16,0,6,2,8,52,17,25,10,1
,Greenland,7,0,2,0,5,14,3,8,3,0
,Greenwood,18,0,3,0,15,37,7,29,1,0
,Greers Ferry,0,0,0,0,0,12,2,9,1,0
,Gurdon,17,0,1,0,16,35,13,20,2,1
,Hamburg,9,0,1,1,7,24,14,10,0,0
,Harrison,65,0,6,10,49,468,80,357,31,2
,Haskell,19,0,9,0,10,36,2,32,2,0
,Hazen,0,0,0,0,0,16,7,7,2,0
,Heber Springs,18,0,6,1,11,199,44,148,7,1
,Helena-West Helena,157,8,4,19,126,471,160,293,18,4
,Highfill,0,0,0,0,0,0,0,0,0,0
,Highland,7,0,2,0,5,28,6,19,3,0
,Hope,75,0,8,12,55,392,78,294,20,2
,Hot Springs,194,6,29,46,113,"2,592",740,"1,651",201,7
,Hoxie,8,0,4,0,4,16,5,9,2,0
,Hughes,8,0,2,1,5,21,9,12,0,2
,Jacksonville,331,2,10,35,284,"1,322",271,916,135,6
,Jericho,0,0,0,0,0,3,2,1,0,0
,Johnson,9,0,1,0,8,80,27,43,10,1
,Jonesboro,425,4,57,57,307,"3,143","1,150","1,825",168,11
,Judsonia,8,0,2,0,6,22,7,15,0,0
,Kensett,3,0,1,0,2,30,5,22,3,0
,Lake City,4,0,1,1,2,24,4,14,6,0
,Lakeview,0,0,0,0,0,19,4,15,0,0
,Lake Village,14,0,0,7,7,86,30,56,0,0
,Lamar,4,0,2,0,2,14,5,9,0,0
,Lavaca,9,0,5,0,4,29,8,20,1,0
,Leachville,5,0,2,0,3,25,4,18,3,0
,Lewisville,4,0,0,0,4,23,9,14,0,0
,Lincoln,27,0,4,1,22,51,14,34,3,2
,Little Flock,10,0,3,0,7,35,9,21,5,0
,Little Rock,"2,882",40,218,371,"2,253","13,049","2,079","9,850","1,120",57
,Lonoke,34,0,5,2,27,145,29,109,7,1
,Lowell,18,0,2,3,13,114,37,68,9,0
,Luxora,0,0,0,0,0,3,0,2,1,0
,Magnolia5,22,2,2,7,11,,,258,13,3
,Mammoth Spring,0,0,0,0,0,1,0,1,0,0
,Marianna,28,1,2,3,22,207,76,112,19,3
,Marion,125,0,13,20,92,500,143,322,35,2
,Marked Tree,20,0,1,3,16,57,17,39,1,1
,Marmaduke,3,0,0,0,3,30,5,24,1,2
,Maumelle,47,1,2,5,39,326,78,226,22,2
,Mayflower,11,0,4,1,6,76,29,44,3,0
,McCrory,11,0,8,0,3,22,1,20,1,0
,McGehee,10,0,3,1,6,67,21,44,2,0
,McRae,2,0,1,0,1,5,0,4,1,0
,Mena,14,1,7,1,5,208,25,177,6,0
,Menifee,1,0,0,0,1,1,0,1,0,0
,Mineral Springs,0,0,0,0,0,13,5,8,0,1
,Monticello,53,2,11,8,32,301,64,216,21,1
,Morrilton,9,0,3,1,5,288,18,260,10,3
,Mountainburg,1,0,0,0,1,31,2,22,7,0
,Mountain Home,22,3,7,0,12,590,54,515,21,1
,Mountain View,19,0,5,0,14,103,22,79,2,1
,Mulberry,11,0,1,1,9,48,13,33,2,1
,Murfreesboro,5,0,2,0,3,24,6,17,1,1
,Nashville,18,0,6,0,12,156,13,138,5,1
,Newport,67,0,4,7,56,358,84,266,8,2
,Norfork,0,0,0,0,0,4,0,3,1,0
,North Little Rock,494,13,16,97,368,"2,287",431,"1,567",289,10
,Ola,6,0,1,0,5,18,0,12,6,0
,Osceola,158,1,8,9,140,314,127,159,28,4
,Paris,31,0,3,1,27,88,30,47,11,0
,Pea Ridge,20,0,5,1,14,112,13,98,1,1
,Perryville,1,0,0,0,1,32,3,28,1,0
,Piggott,6,0,2,0,4,41,16,24,1,1
,Pine Bluff,679,15,37,97,530,"2,278",665,"1,380",233,56
,Plainview,0,0,0,0,0,0,0,0,0,0
,Plumerville,5,0,3,0,2,11,2,9,0,1
,Pocahontas,32,0,11,1,20,291,39,229,23,1
,Pottsville,5,0,1,0,4,26,12,14,0,0
,Prairie Grove,11,0,1,1,9,141,18,121,2,0
,Quitman,3,0,0,0,3,33,3,30,0,0
,Redfield,1,0,0,0,1,20,3,15,2,0
,Rogers,294,2,78,23,191,"1,925",189,"1,636",100,6
,Russellville,114,0,22,9,83,904,124,705,75,3
,Salem,5,0,1,0,4,14,4,10,0,0
,Sheridan,15,0,9,2,4,173,23,139,11,0
,Sherwood,180,1,15,14,150,978,229,685,64,4
,Siloam Springs5,78,0,19,3,56,,,267,56,3
,Springdale,388,3,94,31,260,"2,702",357,"2,078",267,11
,Star City,13,0,1,1,11,54,13,35,6,0
,St. Charles,2,0,1,0,1,2,1,1,0,0
,Sulphur Springs,2,0,0,0,2,11,5,5,1,0
,Swifton,0,0,0,0,0,5,1,4,0,0
,Texarkana,200,0,22,44,134,"1,256",196,984,76,3
,Trumann,56,3,6,2,45,364,53,295,16,1
,Tuckerman,7,0,1,0,6,18,10,6,2,0
,Tyronza,0,0,0,0,0,10,1,8,1,0
,Van Buren,134,1,16,3,114,771,220,487,64,1
,Vilonia,6,0,2,0,4,60,19,40,1,0
,Waldron,14,0,8,0,6,108,45,60,3,2
,Walnut Ridge,14,0,4,0,10,75,19,53,3,3
,Ward,37,0,12,0,25,106,23,79,4,0
,Warren,25,1,4,1,19,130,51,69,10,1
,West Fork,11,1,3,0,7,32,5,25,2,0
,West Memphis,486,16,26,55,389,"1,262",357,795,110,7
,White Hall,4,0,0,1,3,85,42,37,6,0
,Wilson,1,1,0,0,0,11,2,8,1,0
,Wynne,70,0,15,7,48,325,54,261,10,8
CALIFORNIA,Adelanto,239,0,25,40,174,610,175,336,99,19
,Agoura Hills,27,0,5,8,14,274,64,186,24,3
,Alameda,184,1,13,75,95,"2,123",196,"1,576",351,18
,Albany,37,1,2,28,6,608,69,492,47,3
,Alhambra,193,3,14,88,88,"1,930",328,"1,346",256,16
,Aliso Viejo,43,0,11,10,22,445,66,348,31,1
,Alturas,24,0,0,3,21,76,27,38,11,1
,American Canyon,56,0,8,13,35,405,54,311,40,0
,Anaheim,"1,192",7,142,407,636,"8,702","1,408","5,921","1,373",27
,Anderson,64,1,6,12,45,388,89,201,98,4
,Angels Camp,10,0,0,0,10,80,22,50,8,0
,Antioch,602,7,56,213,326,"3,330",641,"2,087",602,92
,Apple Valley,227,5,17,55,150,"1,459",279,917,263,15
,Arcadia,76,1,8,41,26,"1,420",372,969,79,5
,Arcata,64,1,15,14,34,665,89,512,64,12
,Arroyo Grande,24,0,3,3,18,286,37,225,24,4
,Artesia,82,1,3,34,44,335,107,180,48,1
,Arvin,207,3,7,27,170,382,89,172,121,20
,Atascadero,99,0,15,9,75,428,63,330,35,3
,Atherton,5,0,3,2,0,107,31,73,3,0
,Atwater,179,2,6,21,150,910,163,561,186,16
,Auburn,72,0,3,9,60,192,51,123,18,3
,Avalon,4,0,1,0,3,41,9,27,5,0
,Avenal,44,1,2,1,40,118,43,57,18,0
,Azusa,193,3,25,63,102,"1,122",221,716,185,9
,Bakersfield,"1,895",31,113,811,940,"16,097","4,025","9,295","2,777",275
,Baldwin Park,287,3,35,71,178,"1,386",240,843,303,1
,Banning,135,6,17,28,84,531,191,217,123,0
,Barstow,285,2,14,96,173,"1,102",348,584,170,32
,Bear Valley,5,0,1,0,4,118,5,113,0,0
,Beaumont,208,1,17,24,166,871,163,570,138,3
,Bell,184,3,10,45,126,495,120,266,109,0
,Bellflower,335,4,25,118,188,"1,688",331,963,394,10
,Bell Gardens,117,2,6,53,56,633,85,306,242,4
,Belmont,40,0,10,10,20,424,58,336,30,1
,Belvedere,0,0,0,0,0,11,4,6,1,0
,Benicia,34,0,7,17,10,382,71,229,82,2
,Berkeley,586,1,65,353,167,"5,381",829,"4,004",548,31
,Beverly Hills,106,0,14,42,50,"1,757",405,"1,282",70,5
,Big Bear,36,1,4,3,28,171,44,109,18,1
,Biggs,10,0,0,2,8,34,9,20,5,0
,Bishop,41,0,6,4,31,232,26,201,5,0
,Blythe,71,1,6,23,41,684,213,440,31,35
,Bradbury,2,0,0,0,2,13,9,4,0,0
,Brawley,154,1,4,18,131,657,112,494,51,19
,Brea,83,1,7,29,46,"1,293",159,"1,068",66,5
,Brentwood,152,1,7,39,105,"1,317",211,"1,021",85,1
,Brisbane,9,0,1,1,7,93,39,51,3,1
,Broadmoor,14,2,1,5,6,78,24,36,18,0
,Buellton,3,0,0,0,3,51,4,41,6,0
,Buena Park,257,0,17,74,166,"2,583",265,"1,977",341,2
,Burbank,229,0,18,77,134,"2,625",276,"2,135",214,8
,Burlingame,58,0,9,19,30,921,177,684,60,4
,Calabasas,26,0,8,3,15,363,81,269,13,0
,Calexico,87,0,6,19,62,"1,064",320,576,168,40
,California City,47,4,2,8,33,393,196,137,60,0
,Calimesa,12,0,0,3,9,202,36,129,37,0
,Calistoga,10,0,3,2,5,62,15,39,8,1
,Camarillo,78,0,16,21,41,841,110,663,68,3
,Campbell,119,0,11,37,71,"1,379",235,976,168,25
,Canyon Lake,12,0,3,0,9,101,22,56,23,1
,Capitola,26,0,5,9,12,507,28,458,21,3
,Carlsbad,243,1,39,52,151,"2,100",299,"1,649",152,14
,Carmel,11,0,0,0,11,96,20,73,3,0
,Carpinteria,22,0,0,2,20,212,36,148,28,0
,Carson,435,5,14,131,285,"1,971",345,"1,181",445,11
,Cathedral City,172,2,22,39,109,717,188,283,246,6
,Central Marin,40,0,10,19,11,723,193,503,27,0
,Ceres,228,1,13,74,140,"1,452",325,792,335,19
,Cerritos,162,0,13,91,58,"1,794",372,"1,259",163,3
,Chico,611,2,86,106,417,"2,403",327,"1,761",315,66
,Chino,259,1,25,67,166,"2,216",407,"1,508",301,6
,Chino Hills,77,1,8,17,51,"1,079",242,747,90,3
,Chowchilla,42,3,1,4,34,293,81,144,68,5
,Chula Vista,835,6,79,256,494,"3,611",585,"2,338",688,20
,Citrus Heights,324,1,47,86,190,"2,478",410,"1,739",329,12
,Claremont,66,1,15,19,31,930,227,646,57,5
,Clayton,1,0,0,1,0,146,11,128,7,0
