Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2014",,,,,,,,,,,
State,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
,Eufaula,73,1,5,12,55,478,84,367,27,
,Eutaw,34,0,1,2,31,114,42,58,14,
,Evergreen,27,1,0,4,22,210,48,143,19,
,Fairhope,54,0,3,7,44,564,111,443,10,
,Fayette,15,0,3,0,12,79,11,56,12,
,Flomaton,15,0,1,2,12,62,11,47,4,
,Florence,202,1,25,44,132,"1,476",250,"1,137",89,6
,Foley,51,1,1,13,36,783,98,664,21,
,Frisco City,6,0,1,1,4,31,4,25,2,
,Fyffe,4,0,1,0,3,26,5,21,0,
,Gadsden,358,3,31,89,235,"2,806",733,"1,879",194,31
,Gardendale,29,0,4,7,18,562,84,466,12,
,Geneva,23,0,0,2,21,186,40,138,8,
,Georgiana,22,0,2,2,18,82,28,47,7,
,Glencoe,18,0,4,2,12,127,38,83,6,
,Grant,10,0,1,3,6,75,29,40,6,
,Greenville,48,3,2,3,40,336,32,295,9,
,Gulf Shores,41,1,7,6,27,665,127,515,23,
,Guntersville,42,0,5,13,24,560,92,445,23,
,Gurley,4,0,0,0,4,33,7,24,2,
,Hamilton,17,0,5,3,9,147,38,102,7,
,Hanceville,9,0,0,2,7,125,37,77,11,
,Hartford,13,0,1,2,10,74,19,50,5,
,Hartselle,18,0,5,2,11,331,33,284,14,
,Headland,3,0,0,0,3,74,14,53,7,
,Helena,17,1,4,1,11,145,12,126,7,
,Henagar,1,0,0,0,1,41,12,25,4,
,Homewood,67,0,7,42,18,"1,034",163,806,65,
,Hoover,98,1,15,50,32,"2,257",270,"1,908",79,1
,Hueytown,43,1,10,11,21,593,86,477,30,
,Huntsville,"1,467",15,104,390,958,"9,161","1,912","6,521",728,28
,Ider,4,0,0,0,4,35,12,20,3,
,Irondale,58,1,1,18,38,403,95,280,28,
,Jacksonville,67,1,6,17,43,460,143,304,13,
,Jasper,115,1,14,18,82,"1,116",135,926,55,
,Killen,1,0,0,0,1,37,4,31,2,
,Kinston,4,0,1,0,3,27,6,20,1,
,Lafayette,22,0,0,1,21,82,15,65,2,
,Lanett,71,1,11,6,53,491,114,337,40,
,Leeds,61,2,3,14,42,522,82,412,28,
,Leesburg,6,1,0,0,5,51,12,35,4,
,Leighton,19,0,3,0,16,40,18,19,3,
,Level Plains,11,0,1,0,10,50,11,34,5,
,Lincoln,35,1,8,4,22,350,95,234,21,
,Linden,9,0,1,0,8,76,35,40,1,
,Lineville,14,0,2,1,11,23,8,10,5,
,Lipscomb,12,0,0,4,8,42,17,20,5,
,Livingston,22,0,1,5,16,81,33,41,7,
,Luverne,15,0,0,0,15,64,12,48,4,
,Madison,150,2,11,20,117,943,151,749,43,
,Maplesville,9,0,1,1,7,30,8,18,4,
,Margaret,4,0,0,0,4,17,4,12,1,
,McIntosh,6,0,1,1,4,27,7,19,1,
,Midfield4,36,0,3,14,19,,101,,21,
,Midland City,12,0,0,1,11,112,21,83,8,
,Millbrook,74,1,9,27,37,679,108,534,37,
,Mobile5,"1,488",31,136,428,893,"11,603","2,847","8,225",531,
,Monroeville,67,1,1,6,59,416,54,333,29,
,Montevallo,25,0,2,7,16,154,40,106,8,
,Montgomery,"1,046",35,35,450,526,"9,025","2,548","5,817",660,
,Moody,15,0,0,4,11,221,39,167,15,
,Morris,0,0,0,0,0,33,6,23,4,
,Moulton,8,0,4,1,3,70,26,40,4,
,Moundville,7,0,2,0,5,86,17,62,7,
,Muscle Shoals,45,0,10,10,25,786,138,596,52,
,New Brockton,1,0,1,0,0,33,9,23,1,
,New Hope,11,0,0,0,11,53,23,26,4,
,Newton,4,0,2,1,1,55,6,40,9,
,Northport,90,0,13,30,47,992,218,745,29,
,Notasulga,6,0,0,0,6,61,19,35,7,
,Odenville,17,0,2,2,13,47,13,30,4,
,Ohatchee,0,0,0,0,0,23,12,11,0,
,Oneonta,22,0,7,3,12,208,24,169,15,
,Opelika,188,1,11,34,142,"1,622",289,"1,245",88,
,Opp,22,0,2,3,17,121,31,83,7,
,Owens Crossroads,1,0,0,0,1,26,3,21,2,
,Oxford,73,2,2,10,59,"1,040",134,878,28,
,Ozark,67,1,19,4,43,900,184,681,35,
,Pelham,20,0,5,6,9,413,35,358,20,
,Pell City,19,0,2,5,12,286,48,226,12,
,Phenix City,249,4,29,50,166,"2,250",600,"1,364",286,
,Piedmont,20,0,5,0,15,207,63,129,15,
,Pine Hill,8,0,1,1,6,33,9,22,2,
,Powell,5,0,0,0,5,34,10,21,3,
,Prattville,81,0,11,33,37,"1,274",227,958,89,
,Priceville,6,1,3,1,1,32,9,19,4,
,Prichard,315,4,11,91,209,"1,327",581,606,140,27
,Ragland,1,0,0,0,1,17,7,9,1,
,Rainbow City,10,0,1,1,8,148,49,91,8,
,Rainsville,13,0,1,0,12,136,16,99,21,
,Red Bay,8,0,1,0,7,64,18,42,4,
,Reform,2,0,1,0,1,27,5,19,3,
,Riverside,5,0,1,0,4,77,29,45,3,
,Roanoke,11,0,0,1,10,130,31,91,8,
,Robertsdale,15,0,2,1,12,264,44,211,9,
,Rogersville,5,0,0,0,5,32,8,21,3,
,Russellville,36,0,6,6,24,415,85,312,18,
,Samson,14,0,1,0,13,85,17,62,6,
,Saraland,41,0,5,5,31,530,57,434,39,
,Sardis City,0,0,0,0,0,43,5,30,8,
,Satsuma,7,0,2,1,4,66,15,44,7,
,Scottsboro,64,0,5,3,56,597,96,473,28,
,Selma,270,3,18,70,179,"2,070",556,"1,394",120,44
,Sheffield,73,1,9,8,55,473,151,285,37,
,Skyline,1,0,0,0,1,17,4,10,3,
,Slocomb,4,0,0,0,4,26,11,11,4,
,Snead,3,0,0,0,3,38,9,23,6,
,Southside,11,0,6,0,5,119,29,81,9,
,Springville,9,0,1,1,7,128,10,113,5,
,Steele,1,0,0,1,0,6,1,4,1,
,Stevenson,7,0,1,0,6,40,19,17,4,
,Sulligent,5,0,2,0,3,59,10,47,2,
,Sumiton,5,0,2,0,3,59,7,49,3,
,Summerdale,8,1,2,0,5,56,9,39,8,
,Sylacauga,71,0,9,17,45,734,169,538,27,
,Sylvania,0,0,0,0,0,21,1,18,2,
,Talladega,124,1,10,20,93,"1,033",315,666,52,
,Tallassee,34,0,4,0,30,278,78,182,18,
,Tarrant,38,2,2,13,21,399,120,263,16,0
,Taylor,1,0,0,0,1,9,0,8,1,
,Town Creek,5,0,0,3,2,19,7,10,2,
,Trinity,5,0,1,0,4,41,11,28,2,
,Troy,126,0,11,22,93,942,217,679,46,
,Tuscaloosa,466,9,53,176,228,"4,138","1,042","2,913",183,
,Tuscumbia,45,1,5,3,36,334,80,226,28,
,Tuskegee,91,0,7,11,73,473,175,263,35,
,Valley,73,0,13,13,47,555,119,400,36,
,Vance,6,0,0,2,4,38,14,22,2,
,Vestavia Hills,22,0,0,6,16,456,74,361,21,
,Warrior,11,0,2,1,8,64,21,35,8,
,Weaver,21,0,8,1,12,123,35,79,9,
,Wedowee,4,0,0,0,4,37,12,19,6,
,Wetumpka,23,0,6,2,15,339,35,296,8,
,Winfield,22,0,3,4,15,172,41,121,10,
,Woodstock,4,1,0,1,2,45,10,32,3,
,York,10,0,0,2,8,60,30,26,4,
ALASKA,Anchorage,"2,605",12,392,496,"1,705","11,531","1,375","9,217",939,81
,Bethel,56,0,22,1,33,151,37,77,37,1
,Bristol Bay Borough,0,0,0,0,0,12,3,1,8,1
,Cordova,8,0,1,1,6,29,4,25,0,0
,Craig,16,0,0,1,15,20,1,19,0,0
,Dillingham,44,0,11,2,31,47,12,28,7,1
,Fairbanks,214,4,39,52,119,"1,247",155,969,123,1
,Haines,4,0,0,0,4,43,12,25,6,0
,Homer,32,0,0,0,32,241,18,215,8,0
,Juneau,189,1,23,24,141,872,103,740,29,15
,Kenai,39,0,18,0,21,369,30,322,17,0
,Ketchikan,29,0,8,4,17,290,22,257,11,3
,Kodiak,42,0,4,2,36,270,14,234,22,1
,Kotzebue,49,0,18,3,28,143,30,86,27,3
,Nome,48,0,4,2,42,57,9,32,16,0
,North Pole,11,0,0,3,8,69,19,47,3,1
,North Slope Borough,74,1,6,3,64,111,32,60,19,3
,Palmer,12,0,7,1,4,166,22,130,14,0
,Petersburg,6,0,2,0,4,74,9,62,3,2
,Seward,28,0,1,0,27,28,7,20,1,0
,Sitka,6,0,0,0,6,239,37,195,7,0
,Skagway,0,0,0,0,0,18,2,16,0,0
,Soldotna,18,0,1,1,16,185,22,156,7,1
,Unalaska,10,1,1,1,7,45,1,36,8,0
,Valdez,19,0,7,0,12,94,3,80,11,0
,Wasilla,51,1,2,2,46,593,44,511,38,1
,Wrangell,5,0,1,0,4,24,5,16,3,0
ARIZONA,Apache Junction,91,2,8,17,64,"1,221",404,748,69,14
,Buckeye,29,1,4,7,17,"1,141",195,878,68,
,Bullhead City,81,2,1,12,66,"1,603",391,"1,098",114,5
,Camp Verde,36,0,2,1,33,273,76,172,25,5
,Casa Grande,240,1,21,53,165,"1,795",361,"1,366",68,27
,Chandler,466,1,60,111,294,"5,643",954,"4,461",228,97
,Chino Valley,76,0,3,3,70,294,57,217,20,3
,Clarkdale,6,0,0,0,6,42,12,29,1,2
,Coolidge,49,0,5,11,33,501,81,400,20,7
,Eagar,5,0,0,0,5,84,28,55,1,0
,El Mirage,56,0,4,13,39,"1,015",244,701,70,8
,Eloy,85,2,4,8,71,498,127,343,28,7
,Flagstaff,275,3,30,46,196,"3,020",215,"2,722",83,11
,Florence,32,1,0,0,31,150,22,118,10,0
,Fredonia,2,0,0,0,2,10,4,4,2,0
,Gilbert,209,0,27,41,141,"3,473",580,"2,766",127,23
,Globe,40,0,0,2,38,391,106,284,1,1
,Holbrook,39,0,0,0,39,243,62,167,14,1
,Jerome,3,0,0,2,1,25,6,18,1,0
,Kingman,73,1,6,9,57,"1,471",248,"1,151",72,15
,Lake Havasu City,88,1,14,5,68,"1,109",222,830,57,2
,Mammoth,2,0,0,0,2,8,2,6,0,0
,Mesa,"2,119",13,252,469,"1,385","12,940","2,358","9,744",838,85
,Miami,5,0,0,0,5,73,34,36,3,11
,Nogales,48,0,0,5,43,539,122,374,43,0
,Page,71,2,10,2,57,464,36,406,22,2
,Patagonia,6,0,0,3,3,10,1,8,1,0
,Payson,55,1,2,2,50,376,112,241,23,0
,Peoria,244,2,36,60,146,"3,299",607,"2,510",182,3
,Phoenix,"8,749",114,"1,006","2,952","4,677","56,977","14,316","35,461","7,200",313
,Pima,2,0,1,0,1,36,4,32,0,1
,Pinetop-Lakeside,30,0,2,2,26,130,25,102,3,0
,Prescott,141,0,6,14,121,"1,229",179,"1,004",46,5
,Prescott Valley,88,1,7,13,67,928,107,806,15,3
,Quartzsite,9,0,0,2,7,120,45,69,6,1
,Sahuarita,9,0,2,3,4,393,51,326,16,2
,San Luis,50,0,2,4,44,457,114,292,51,0
,Snowflake-Taylor,47,0,0,1,46,144,49,82,13,2
,Somerton,25,0,0,1,24,215,63,121,31,0
,South Tucson,139,4,7,40,88,"1,025",101,907,17,3
,Springerville,4,0,0,1,3,47,13,34,0,0
,St. Johns,17,0,0,0,17,88,38,49,1,0
,Surprise,137,4,9,31,93,"2,099",350,"1,620",129,14
,Tempe,799,5,103,193,498,"8,044","1,177","6,406",461,42
,Thatcher,1,0,0,0,1,106,16,90,0,0
,Tolleson,39,2,2,13,22,703,209,435,59,2
,Wellton,1,0,0,0,1,35,15,19,1,0
,Wickenburg,16,0,2,2,12,143,33,100,10,0
,Williams,17,0,2,2,13,112,26,84,2,0
,Yuma,520,3,35,70,412,"3,334",855,"2,166",313,38
ARKANSAS,Alma,25,0,5,2,18,290,60,223,7,1
,Altus,6,0,0,0,6,10,1,8,1,0
,Arkadelphia,41,0,10,0,31,312,68,235,9,1
,Ashdown,7,0,1,0,6,238,37,189,12,0
,Ash Flat,1,0,0,1,0,24,5,19,0,1
,Atkins,2,0,2,0,0,95,20,67,8,0
,Austin,7,0,0,1,6,42,14,26,2,0
,Bald Knob,10,1,1,1,7,112,20,90,2,0
,Barling,39,0,5,0,34,99,6,89,4,0
,Bay,0,0,0,0,0,23,8,14,1,0
,Bearden,2,0,0,0,2,11,5,6,0,0
,Beebe,31,0,8,1,22,374,61,296,17,1
,Bella Vista,39,0,12,0,27,167,31,134,2,1
,Benton,127,0,21,23,83,"1,456",381,993,82,0
,Berryville,22,0,9,1,12,238,49,181,8,1
,Blytheville,260,2,13,67,178,"1,254",518,697,39,0
,Bono,4,0,1,0,3,28,10,18,0,0
,Booneville,10,0,4,0,6,166,25,134,7,0
,Bradford,3,0,0,0,3,32,7,23,2,0
,Brinkley,13,0,3,2,8,77,23,53,1,1
,Brookland,7,0,3,1,3,33,12,21,0,0
,Bull Shoals,3,0,1,0,2,29,9,19,1,0
,Cabot,54,0,19,2,33,741,143,555,43,1
,Caddo Valley,3,0,1,0,2,26,6,20,0,0
,Camden,72,4,9,7,52,504,137,353,14,2
,Cammack Village,0,0,0,0,0,14,6,8,0,0
,Caraway,0,0,0,0,0,2,1,1,0,0
,Carlisle,3,0,1,0,2,56,23,32,1,0
,Cave City,8,0,6,0,2,41,6,33,2,0
,Cave Springs,3,0,0,0,3,27,8,19,0,0
,Centerton,28,0,11,1,16,96,16,79,1,0
,Charleston,5,0,1,0,4,23,10,12,1,0
,Cherokee Village,10,0,5,1,4,68,25,39,4,0
,Clarendon,5,0,0,0,5,19,9,9,1,0
,Clarksville,15,0,9,0,6,356,38,304,14,1
,Clinton,3,0,0,0,3,54,20,28,6,0
,Conway,257,1,27,62,167,"3,008",501,"2,347",160,3
,Corning,13,0,2,0,11,55,8,42,5,0
,Cotter,4,0,0,0,4,10,2,8,0,1
,Crossett,28,0,3,5,20,375,197,178,0,3
,Damascus,0,0,0,0,0,12,2,10,0,0
,Danville,2,0,1,0,1,13,4,9,0,0
,Dardanelle,23,0,7,3,13,166,48,114,4,1
,Decatur,5,0,3,0,2,58,11,46,1,0
,De Queen,15,0,2,1,12,151,44,100,7,4
,Dermott,16,0,3,0,13,38,23,12,3,0
,Des Arc,2,0,1,0,1,33,28,4,1,0
,De Valls Bluff,0,0,0,0,0,0,0,0,0,0
,De Witt,26,1,2,0,23,159,37,117,5,0
,Diaz,2,0,0,0,2,7,0,6,1,0
,Dover,4,1,0,0,3,39,9,30,0,0
,Dumas,15,0,2,5,8,101,46,48,7,0
,Dyer,5,0,1,0,4,10,2,8,0,0
,Earle,8,0,1,0,7,72,31,37,4,1
,El Dorado,177,0,6,25,146,874,337,483,54,4
,Elkins,4,0,0,0,4,38,11,27,0,0
,England,30,0,3,3,24,90,24,63,3,0
,Etowah,0,0,0,0,0,10,5,5,0,0
,Eudora,10,1,0,0,9,76,29,42,5,1
,Eureka Springs,8,0,0,2,6,92,20,69,3,0
,Fairfield Bay,12,0,4,0,8,60,28,31,1,0
,Farmington,10,0,6,1,3,361,305,52,4,0
,Fayetteville,399,1,45,45,308,"3,394",544,"2,597",253,6
,Flippin,10,0,4,0,6,65,7,58,0,0
,Fordyce,40,0,2,4,34,173,64,104,5,0
,Fort Smith,663,4,74,106,479,"4,672",866,"3,625",181,9
,Gassville,1,0,1,0,0,51,8,43,0,0
,Gentry,12,0,4,0,8,44,11,32,1,0
,Glenwood,1,0,0,0,1,84,25,55,4,0
,Gosnell,21,0,5,2,14,84,48,33,3,0
,Gravette,13,0,1,0,12,53,11,37,5,0
,Greenbrier,1,0,0,0,1,6,0,6,0,0
,Green Forest,12,0,5,0,7,84,16,63,5,0
,Greenland,5,0,1,0,4,14,3,10,1,0
,Greenwood,19,0,3,0,16,50,15,35,0,0
,Greers Ferry,2,0,1,0,1,17,4,11,2,0
,Gurdon,3,0,1,0,2,28,12,15,1,0
,Guy,0,0,0,0,0,9,2,4,3,0
,Hamburg,9,0,0,1,8,30,14,16,0,0
,Hampton,7,0,0,1,6,15,8,6,1,0
,Hardy,1,0,0,0,1,37,23,13,1,0
,Harrisburg,13,0,1,0,12,97,27,67,3,2
,Harrison,101,3,26,5,67,656,123,506,27,6
,Heber Springs,25,0,3,0,22,324,69,249,6,0
,Helena-West Helena,154,7,21,27,99,705,264,416,25,8
,Higginson,3,0,1,0,2,5,1,4,0,0
,Highfill,0,0,0,0,0,1,0,1,0,0
,Highland,0,0,0,0,0,6,1,5,0,0
,Hope,70,1,12,8,49,524,96,410,18,3
,Hoxie,9,0,3,0,6,15,7,8,0,0
,Jacksonville,211,3,13,27,168,"1,293",281,941,71,5
,Jasper,1,0,0,0,1,9,1,8,0,0
,Jonesboro,380,9,55,61,255,"3,172",681,"2,409",82,8
,Judsonia,2,0,0,1,1,31,18,10,3,0
,Kensett,5,0,2,0,3,35,5,29,1,0
,Lake City,0,0,0,0,0,22,7,15,0,0
,Lake Village,17,0,0,5,12,144,37,106,1,2
,Lamar,2,0,1,0,1,51,11,37,3,0
,Lavaca,10,0,1,0,9,22,9,12,1,0
,Leachville,5,0,1,0,4,29,9,19,1,0
,Lepanto,6,0,0,1,5,78,28,50,0,1
,Lewisville,2,0,1,0,1,21,8,13,0,0
,Lincoln,23,0,9,0,14,29,11,16,2,0
,Little Flock,4,0,1,0,3,25,8,16,1,0
,Little Rock,"2,759",43,138,729,"1,849","14,253","3,068","10,320",865,68
,Lonoke,26,0,6,2,18,186,27,157,2,0
,Lowell,18,0,4,1,13,125,28,93,4,0
,Luxora,0,0,0,0,0,6,2,4,0,0
,Magnolia,41,0,8,4,29,330,145,173,12,5
,Mammoth Spring,2,0,0,0,2,4,0,4,0,0
,Marianna,22,0,5,3,14,149,57,85,7,0
,Marion,58,0,3,9,46,537,117,402,18,1
,Marmaduke,6,0,0,0,6,37,12,23,2,2
,Marvell,2,0,0,1,1,55,14,41,0,0
,Maumelle,19,0,3,2,14,400,63,323,14,0
,Mayflower,5,0,1,0,4,80,18,52,10,0
,McCrory,0,0,0,0,0,38,13,25,0,0
,McGehee,43,1,1,0,41,153,48,104,1,3
,McRae,0,0,0,0,0,12,3,9,0,0
,Mena,17,0,4,2,11,271,48,221,2,2
,Mineral Springs,1,0,0,0,1,23,8,15,0,0
,Monette,2,0,1,0,1,33,14,17,2,0
,Monticello,31,0,6,4,21,388,119,257,12,2
,Morrilton,15,0,3,2,10,328,43,275,10,1
,Mountain Home,13,0,11,1,1,484,31,445,8,2
,Mountain View,7,0,1,0,6,135,19,116,0,0
,Mulberry,34,0,4,0,30,70,28,40,2,1
,Murfreesboro,4,0,0,0,4,12,1,11,0,0
,Nashville,9,1,3,1,4,185,26,157,2,1
,Newport,88,0,13,15,60,565,122,428,15,3
,North Little Rock,426,8,14,86,318,"2,846",517,"2,126",203,8
,Ola,5,0,3,0,2,21,7,14,0,0
,Osceola,115,0,10,13,92,374,134,229,11,4
,Ozark,15,0,7,0,8,107,23,77,7,0
,Pangburn,0,0,0,0,0,17,8,9,0,0
,Paragould,118,0,28,10,80,"1,994",417,"1,451",126,14
,Paris,23,0,7,1,15,165,64,96,5,0
,Pea Ridge,16,0,6,0,10,136,26,106,4,1
,Perryville,0,0,0,0,0,31,1,28,2,0
,Piggott,8,0,2,0,6,100,35,63,2,0
,Pine Bluff,576,13,39,141,383,"2,656",991,"1,487",178,49
,Plummerville,4,0,0,0,4,12,1,10,1,0
,Pocahontas,14,0,5,0,9,291,45,240,6,0
,Pottsville,13,0,2,1,10,37,10,24,3,0
,Prairie Grove,12,0,5,0,7,93,20,71,2,0
,Prescott,12,0,3,0,9,135,81,53,1,0
,Quitman,2,0,2,0,0,37,1,32,4,0
,Redfield,3,0,1,0,2,19,4,15,0,0
,Rison,1,0,1,0,0,26,14,11,1,0
,Rogers,210,0,32,17,161,"1,777",218,"1,493",66,9
,Rose Bud,1,0,0,0,1,15,8,5,2,0
,Russellville,92,0,16,21,55,"1,317",247,955,115,2
,Salem,9,1,0,0,8,29,4,24,1,1
,Shannon Hills,4,0,0,0,4,33,10,21,2,0
,Sheridan,11,0,1,1,9,177,39,128,10,1
,Sherwood,150,0,6,20,124,"1,166",161,932,73,4
,Siloam Springs,53,1,10,0,42,503,167,327,9,1
,Stamps,6,0,3,2,1,38,11,27,0,0
,Star City,16,0,4,1,11,35,17,16,2,0
,Stuttgart,53,0,4,14,35,375,104,250,21,1
,Swifton,3,0,1,0,2,8,0,7,1,0
,Texarkana,225,2,8,43,172,"1,816",412,"1,310",94,1
,Trumann,54,0,9,3,42,551,108,434,9,1
,Tuckerman,0,0,0,0,0,7,2,5,0,0
,Van Buren,67,0,16,7,44,807,231,552,24,1
,Vilonia,17,0,1,1,15,52,18,32,2,0
,Waldron,15,0,3,0,12,122,51,69,2,2
,Walnut Ridge,16,0,6,0,10,93,15,74,4,1
,Ward,22,0,6,0,16,139,33,98,8,1
,Warren,23,2,5,1,15,94,58,35,1,1
,Weiner,1,0,0,0,1,8,3,5,0,0
,West Fork,3,0,0,0,3,33,11,22,0,0
,West Memphis,363,4,48,47,264,"1,466",400,982,84,9
,White Hall,4,0,2,0,2,68,19,45,4,1
,Wynne,99,1,8,9,81,532,155,371,6,2
CALIFORNIA,Adelanto,189,3,18,37,131,790,422,257,111,11
,Agoura Hills,17,0,,3,9,234,66,156,12,1
,Alameda,145,1,,62,73,"1,723",236,"1,154",333,17
,Albany,31,0,,24,4,478,105,319,54,0
,Alhambra,168,1,,83,65,"1,743",316,"1,203",224,4
,Aliso Viejo6,35,1,5,5,24,273,45,211,17,1
,Alturas,29,4,,1,21,89,32,51,6,1
,American Canyon ,55,0,,16,37,568,98,439,31,0
,Anaheim,"1,101",14,,418,590,"8,196","1,301","5,620","1,275",23
,Anderson,96,1,,11,74,617,100,440,77,0
,Antioch,849,9,54,320,466,"4,190","1,317","1,850","1,023",43
,Apple Valley,212,2,18,53,139,"1,654",573,866,215,33
,Arcadia,60,1,7,24,28,"1,159",276,839,44,2
,Arcata,78,0,,19,46,702,144,499,59,15
,Arroyo Grande,52,0,,7,44,356,82,243,31,2
,Artesia,49,0,,26,22,294,86,160,48,1
,Arvin,177,2,,19,152,483,165,230,88,14
,Atascadero,72,0,,8,52,448,102,317,29,3
,Atherton,3,0,,0,2,75,31,42,2,0
,Atwater,182,0,,25,148,"1,024",240,684,100,2
,Auburn,44,1,,8,33,295,65,193,37,1
,Avalon,20,0,,1,16,89,25,55,9,1
,Avenal,18,0,,7,11,154,53,79,22,1
,Azusa6,165,0,12,30,123,"1,065",270,665,130,8
,Bakersfield,"1,678",17,,660,980,"14,595","4,065","8,247","2,283",372
,Baldwin Park,219,2,,56,154,"1,342",317,709,316,9
,Banning,128,1,,16,88,619,248,243,128,0
,Barstow,217,1,,52,153,781,328,307,146,7
,Bear Valley,2,0,,0,1,129,8,119,2,0
,Beaumont,71,0,,19,44,974,171,707,96,2
,Bell,217,1,,73,124,718,156,418,144,0
,Bellflower,293,2,,97,186,"1,623",411,829,383,7
,Bell Gardens,108,2,,41,58,710,107,333,270,4
,Belmont,36,0,,9,18,372,75,266,31,1
,Belvedere,1,0,,1,0,36,6,28,2,0
,Benicia,26,0,,8,14,484,145,283,56,8
,Berkeley,431,3,35,263,130,"5,102",932,"3,615",555,15
,Beverly Hills,111,0,,45,59,"1,071",251,774,46,12
,Big Bear Lake,44,0,3,6,35,262,103,141,18,2
,Biggs,17,0,,0,17,22,6,13,3,2
,Bishop,27,0,,0,24,128,33,91,4,0
,Blythe,88,3,,29,52,748,189,537,22,18
,Bradbury,2,0,,0,2,9,4,5,0,0
,Brawley,69,2,,10,50,"1,020",223,729,68,15
,Brea,53,0,,22,26,"1,124",171,897,56,3
,Brentwood,102,0,8,49,45,"1,250",177,954,119,3
,Brisbane,11,0,,3,7,133,26,94,13,1
,Broadmoor,10,0,,1,7,48,17,20,11,0
,Buellton,6,0,,1,5,71,11,54,6,0
,Buena Park,217,1,,65,138,"2,030",341,"1,411",278,2
,Burbank,150,1,,55,80,"2,426",296,"1,948",182,12
,Burlingame,47,0,,12,31,750,240,445,65,4
,Calabasas,19,0,,6,11,252,81,156,15,5
,Calexico,96,0,,30,59,"1,630",393,918,319,18
,California City,79,1,,5,65,481,249,210,22,1
,Calimesa,17,0,,2,15,259,94,145,20,0
,Calistoga,3,0,,0,3,73,23,45,5,0
,Camarillo6,72,0,14,21,37,965,154,755,56,14
,Campbell,81,1,14,21,45,"1,388",313,873,202,23
,Canyon Lake,13,0,,3,10,128,18,91,19,2
,Capitola,30,0,,7,21,627,25,574,28,3
,Carlsbad,204,1,,44,145,"1,731",331,"1,272",128,5
,Carmel,13,0,,3,9,104,33,68,3,0
,Carpinteria,19,0,,1,15,197,49,140,8,1
